Offense Type,Premise,BlockRange,StreetName,Type
Theft,"Road, Street, or Sidewalk",1200-1299,NAGLE,-
Theft,"Road, Street, or Sidewalk",2700-2799,DALLAS,ST
Theft,Driveway,2200-2299,PRESTON,ST
Burglary,Convenience Store,2300-2399,PEASE,ST
Theft,Other Parking Lot,2200-2299,PRESTON,ST
Theft,Bar or Night Club Parking Lot,2100-2199,DALLAS,ST
Theft,"Road, Street, or Sidewalk",300-399,BASTROP,ST
Theft,Residence or House,2300-2399,POLK,-
Aggravated Assault,"Road, Street, or Sidewalk",4000-4099,GULF,FWY
Theft,Bank or Savings Institution Parking Lot,2200-2299,DALLAS,ST
Theft,"Stadium, Sports Arena, Race Track",2000-2099,WALKER,ST
Theft,"Road, Street, or Sidewalk",2300-2399,LAMAR,-
Theft,Bar or Night Club,900-999,CHARTRES,ST
Theft,"Road, Street, or Sidewalk",2400-2499,DALLAS,ST
Burglary,Residence or House,3200-3299,POLK,-
Theft,Bar or Night Club Parking Lot,2200-2299,PRESTON,ST
Theft,Other Parking Lot,2200-2299,PRESTON,ST
Theft,Miscellaneous Business (Non-Specific),1800-1899,EMANCIPATION,AVE
Theft,Miscellaneous Business (Non-Specific),2000-2099,CONGRESS,-
Theft,"Road, Street, or Sidewalk",2100-2199,RUSK,ST
Theft,"Road, Street, or Sidewalk",1600-1699,HUTCHINS,ST
Theft,"Road, Street, or Sidewalk",2100-2199,POLK,-
Burglary,Residence or House,1200-1299,SAMPSON,-
Theft,Other Parking Lot,2200-2299,DALLAS,ST
Theft,"Physician, Doctor, Dentist's Office",3100-3199,POLK,-
Theft,"Road, Street, or Sidewalk",2200-2299,BELL,ST
Theft,"Road, Street, or Sidewalk",2100-2199,BELL,ST
Theft,"Road, Street, or Sidewalk",1500-1599,SAINT EMANUEL,ST
Theft,Commercial Parking Lot or Garage,2100-2199,POLK,-
Theft,Strip Business Center Parking Lot,1000-1099,SAINT EMANUEL,ST
Theft,Bar or Night Club Parking Lot,2300-2399,PRESTON,ST
Theft,Other Parking Lot,2100-2199,RUSK,ST
Theft,"Road, Street, or Sidewalk",1500-1599,BASTROP,ST
Theft,"Road, Street, or Sidewalk",1400-1499,HUTCHINS,ST
Robbery,"Road, Street, or Sidewalk",UNK,CHARTRES,ST
Theft,Construction Site,1000-1099,YORK,ST
Theft,"Other, Unknown, or Not Listed",600-699,EMANCIPATION,AVE
Theft,"Road, Street, or Sidewalk",2200-2299,DALLAS,ST
Theft,"Road, Street, or Sidewalk",2400-2499,MCKINNEY,ST
Theft,Other Parking Lot,500-599,EMANCIPATION,AVE
Theft,"Road, Street, or Sidewalk",2200-2299,DALLAS,ST
Theft,Commercial Parking Lot or Garage,2000-2099,DALLAS,ST
Theft,"Road, Street, or Sidewalk",1200-1299,LIVE OAK,-
Theft,"Parks and Recreation, Zoo, Swimming Pool",2100-2199,DALLAS,ST
Theft,"Road, Street, or Sidewalk",2200-2299,WALKER,ST
Theft,Driveway,1200-1299,CHARTRES,ST
AutoTheft,"Road, Street, or Sidewalk",2100-2199,LEELAND,-
Theft,Other Parking Lot,2300-2399,CONGRESS,-
Theft,"Road, Street, or Sidewalk",2100-2199,DALLAS,ST
Theft,Bar or Night Club Parking Lot,2000-2099,COMMERCE,ST
Theft,"Stadium, Sports Arena, Race Track",2200-2299,TEXAS,ST
