Offense Type,Beat,Premise,BlockRange,StreetName,Type
Theft,15E40,Hotel or Motel Parking Lot,9300-9399,MAIN,ST
Robbery,15E40,"Hotel, Motel, Inn, Etc.",9900-9999,BUFFALO SPEEDWAY,-
Theft,15E40,Other Parking Lot,2600-2699,SOUTH,LP
Theft,15E40,Hotel or Motel Parking Lot,8100-8199,KIRBY,DR
Theft,15E40,Apartment Parking Lot,3000-3099,MURWORTH,DR
Rape,15E40,"Hotel, Motel, Inn, Etc.",7900-7999,FANNIN,ST
Theft,15E40,Apartment,2800-2899,BARTELL,DR
Auto Theft,15E40,Residence or House,9200-9299,MAIN,ST
Theft,15E40,Apartment Parking Lot,2800-2899,BROADMEAD,DR
Theft,15E40,Apartment,2400-2499,WESTRIDGE,ST
Theft,15E40,Commercial Parking Lot or Garage,8500-8599,MAIN,ST
Robbery,15E40,"Road, Street, or Sidewalk",9400-9499,FANNIN,ST
Theft,15E40,Hotel or Motel Parking Lot,8600-8699,KIRBY,DR
Theft,16E10,Apartment Parking Lot,11900-11999,OAKMOOR,PKWY
Theft,16E10,Service or Gas Station,13200-13299,FARADAY,DR
Robbery,16E10,Residence or House,2100-2199,MATEO PARK,DR
Burglary,16E10,Apartment,11800-11899,CITY PARK CENTRAL,LN
Burglary,16E10,Apartment,11800-11899,CITY PARK CENTRAL,LN
Theft,16E10,Apartment Parking Lot,11900-11999,OAKMOOR,PKWY
Auto Theft,16E10,Apartment Parking Lot,11900-11999,OAKMOOR,PKWY
Theft,16E10,Other Parking Lot,12000-12099,KIRBY,DR
Theft,16E10,Service or Gas Station,100-199,ANDERSON,RD
Theft,16E10,Commercial Parking Lot or Garage,12600-12699,SOUTH,FWY
Theft,16E10,Bar or Night Club Parking Lot,13300-13399,ALMEDA,RD
Robbery,16E10,Convenience Store,13300-13399,CHISWICK,RD
Theft,16E10,Apartment Parking Lot,11900-11999,CITY PARK CENTRAL,LN
Theft,16E10,Residence or House,11900-11999,CHANTELOUP,DR
Theft,16E10,Residence or House,11900-11999,CITY PARK CENTRAL,LN
Auto Theft,16E10,Service or Gas Station,13300-13399,CHISWICK,RD
Theft,16E10,"Field, Woods, Forest, Park",1000-1099,ALMEDA GENOA,RD
Theft,16E10,Apartment Parking Lot,11900-11999,CITY PARK CENTRAL,LN
Robbery,16E10,Residence or House,1300-1399,BAYSWATER,DR
Theft,16E10,Other Parking Lot,12600-12699,SOUTH,FWY
Auto Theft,16E10,Vehicle/Auto Sales/Lease/Auto Parts Store,1800-1899,ALMEDA GENOA,RD
Theft,16E10,Apartment Parking Lot,11900-11999,CITY PARK CENTRAL,LN
Theft,16E10,"Other, Unknown, or Not Listed",14000-14099,BRIDGEPORT,RD
Theft,16E10,"Vacant Storage Fac (Barn,Garage,Warehouse)",13800-13899,LEW BRIGGS,RD
Robbery,16E10,Mobile Home,13500-13599,HOOPER,RD
Burglary,16E10,Residence or House,13200-13299,ADLER,DR
Theft,16E10,Maintenance or Building Services,1800-1899,AIRPORT,BLVD
Aggravated Assault,16E10,Residence or House,100-199,FOXSHIRE,LN
Burglary,16E10,Residence or House,600-699,ANDERSON,RD
Theft,16E10,Apartment Parking Lot,11900-11999,GREEN COLLING PARK,DR
Auto Theft,16E10,"Road, Street, or Sidewalk",13100-13199,ROYAL BELL,CT
Theft,16E10,Residence or House,11900-11999,LONGWOOD GARDEN,WAY
Theft,16E10,"Road, Street, or Sidewalk",11800-11899,CHANTELOUP,DR
Burglary,16E10,Miscellaneous Business (Non-Specific),1900-1999,FELLOWS,-
Rape,16E10,"Other, Unknown, or Not Listed",14000-14099,ALMEDA,RD
Theft,16E10,Other Parking Lot,12100-12199,KIRBY,DR
Theft,16E10,Other Parking Lot,12100-12199,KIRBY,DR
Auto Theft,16E10,Apartment Parking Lot,11900-11999,OAKMOOR,PKWY
Theft,16E10,Other Parking Lot,1500-1599,KEW GARDEN,DR
Aggravated Assault,16E10,"Garden Supply, Nursery, or Florist",2900-2999,SAM HOUSTON,PKWY
Theft,16E10,Service or Gas Station,12600-12699,SOUTH,FWY
Burglary,16E10,Residence or House,13500-13599,HOOPER,RD
Theft,16E10,,12800-12899,KINGSTON POINT,LN
Robbery,16E10,Driveway,13500-13599,HOOPER,RD
Auto Theft,16E10,"Road, Street, or Sidewalk",14000-14099,LABRADOR,RD
Theft,16E10,Service or Gas Station,100-199,ANDERSON,RD
Burglary,16E10,Miscellaneous Business (Non-Specific),1000-1099,ALMEDA GENOA,RD
Theft,16E10,Apartment Parking Lot,11900-11999,CITY PARK CENTRAL,LN
Robbery,16E10,Apartment Parking Lot,11900-11999,CITY PARK CENTRAL,LN
Theft,16E20,Miscellaneous Business (Non-Specific),13300-13399,ALMEDA,RD
Theft,16E20,"Road, Street, or Sidewalk",3700-3799,GARDENIA BEND,DR
Robbery,16E20,"Road, Street, or Sidewalk",12900-12999,PINESAGE,DR
Theft,16E20,Grocery Store or Supermarket Parking Lot,15100-15199,ALMEECE,ST
Theft,16E20,Residence or House,2700-2799,MONTICELLO,DR
Theft,16E20,Vehicle/Auto Sales/Lease/Auto Parts Store,3200-3299,BROOKFIELD,DR
Theft,16E20,Vehicle/Auto Sales/Lease/Auto Parts Store,4000-4099,FUQUA,ST
Robbery,16E20,"Road, Street, or Sidewalk",4800-4899,WICKVIEW,LN
Auto Theft,16E20,Service or Gas Station,4700-4799,ANDERSON,RD
Theft,16E20,Residence or House,4700-4799,ROSEBUD,DR
Auto Theft,16E20,Convenience Store Parking Lot,4100-4199,FUQUA,ST
Auto Theft,16E20,Driveway,3600-3699,BROOKFIELD,DR
Theft,16E20,Driveway,14400-14499,ESSENDINE,LN
Theft,16E20,"Road, Street, or Sidewalk",15000-15099,JEREK,DR
Theft,16E20,Nursing Home,3700-3799,OREM,DR
Burglary,16E20,Restaurant or Cafeteria,13200-13299,ALMEDA,RD
Theft,16E20,Residence or House,3800-3899,PRUDENCE,DR
Burglary,16E20,Residence or House,4700-4799,DALMATIAN,DR
Burglary,16E20,Residence or House,3700-3799,DARLINGHURST,DR
Aggravated Assault,16E20,"Road, Street, or Sidewalk",15100-15199,JEREK,DR
Theft,16E20,Department or Discount Store,4700-4799,FUQUA,ST
Burglary,16E20,Residence or House,4600-4699,CAMPECHE,DR
Theft,16E20,Department or Discount Store,2900-2999,OREM,DR
Auto Theft,16E20,"Road, Street, or Sidewalk",4000-4099,HEATHERBROOK,DR
Robbery,16E20,Convenience Store Parking Lot,12800-12899,HIRAM CLARKE,RD
Robbery,16E20,Convenience Store,4700-4799,FUQUA,ST
Burglary,16E20,Commercial Building,4700-4799,FUQUA,ST
Theft,16E20,Driveway,3300-3399,ANGEL,LN
Theft,16E20,Service or Gas Station,3200-3299,DALMATIAN,DR
Theft,16E20,Vehicle/Auto Sales/Lease/Auto Parts Store,12500-12599,HIRAM CLARKE,RD
Theft,16E20,Laundry or Dry Cleaners Parking Lot,5300-5399,OREM,DR
Theft,16E20,"Parks and Recreation, Zoo, Swimming Pool",4000-4099,KNOTTYNOLD,LN
Robbery,16E20,"Road, Street, or Sidewalk",4400-4499,OREM,DR
Theft,16E20,Police Station,3900-3999,ROSEBUD,DR
Theft,16E20,Vehicle/Auto Sales/Lease/Auto Parts Store,4400-4499,ANSELM,ST
Murder,16E20,Driveway,3400-3499,WUTHERING HEIGHTS,DR
Aggravated Assault,16E20,Residence or House,15100-15199,BATHURST,DR
Robbery,16E20,"Road, Street, or Sidewalk",5400-5499,INGOMAR,WAY
Burglary,16E20,Miscellaneous Business (Non-Specific),13800-13899,POST OAK,RD
Theft,16E20,"Laundry, Dry Cleaners, Washaterias",5300-5399,OREM,DR
Burglary,16E20,Residence or House,13600-13699,AMBROSE,ST
Theft,16E20,Service or Gas Station,15500-15599,POST OAK,RD
Auto Theft,16E20,Residence or House,15400-15499,BOW,LN
Auto Theft,16E20,Driveway,3800-3899,GRAPEVINE,-
Theft,16E20,"Laundry, Dry Cleaners, Washaterias",5300-5399,OREM,DR
Theft,16E20,"Road, Street, or Sidewalk",3800-3899,WOODMONT,DR
Theft,16E20,Residence or House,2900-2999,ALMEDA PLAZA,DR
Theft,16E20,Elementary School,4000-4099,SIMSBROOK,DR
Burglary,16E20,Residence or House,3800-3899,HEATHERBROOK,DR
Murder,16E20,"Road, Street, or Sidewalk",12800-12899,HIRAM CLARKE,RD
Burglary,16E20,Residence or House,4400-4499,KULKARNI,ST
Theft,16E20,Convenience Store,12100-12199,ALMEDA,RD
Burglary,16E20,Residence or House,4100-4199,DRAGONWICK,DR
Theft,16E20,Apartment,4800-4899,FUQUA,ST
Burglary,16E20,Restaurant or Cafeteria,4000-4099,FUQUA,ST
Aggravated Assault,16E20,Residence or House,3700-3799,GOULBURN,DR
Aggravated Assault,16E20,Residence or House,4300-4399,JORNS,DR
Theft,16E20,Service or Gas Station,13300-13399,ALMEDA,RD
Theft,16E20,Residence or House,4300-4399,BROWNSTONE,-
Theft,16E20,Driveway,3300-3399,WUTHERING HEIGHTS,DR
Aggravated Assault,16E20,Residence or House,13600-13699,BONWAY,DR
Theft,16E20,,3000-3099,FUQUA,ST
Theft,16E20,Service or Gas Station,4600-4699,FUQUA,ST
Theft,16E20,Driveway,3400-3499,WUTHERING HEIGHTS,DR
Theft,16E20,Residence or House,14700-14799,MESA VILLAGE,DR
Burglary,16E20,"Vacant Single Occ Resd(House,Townhs,Dplex)",4000-4099,HEATHERBROOK,DR
Theft,16E20,Residence or House,4000-4099,PRUDENCE,DR
Aggravated Assault,16E20,"Road, Street, or Sidewalk",4300-4399,GOULBURN,DR
Burglary,16E20,Residence or House,5200-5299,HEATHERBLOOM,DR
Theft,16E20,Residence or House,2700-2799,MONTICELLO,DR
Aggravated Assault,16E20,Residence or House,4300-4399,BERAN,DR
Theft,16E20,Service or Gas Station,4400-4499,FUQUA,ST
Theft,16E20,Driveway,2700-2799,KNOTTY OAKS,TRL
Theft,16E20,Driveway,5400-5499,INGOMAR,WAY
Robbery,16E20,Convenience Store,12100-12199,ALMEDA,RD
Aggravated Assault,16E20,Residence or House,3200-3299,BOYNTON,DR
Theft,16E20,Apartment Parking Lot,4800-4899,FUQUA,ST
Robbery,16E20,Apartment Parking Lot,4400-4499,AIRPORT,BLVD
Burglary,16E20,Residence or House,3700-3799,GARDENIA BEND,DR
Theft,16E20,"Road, Street, or Sidewalk",4800-4899,ANDERSON,RD
Theft,16E20,Service or Gas Station,3900-3999,ANDERSON,RD
Aggravated Assault,16E20,"Road, Street, or Sidewalk",4400-4499,TRAFALGAR,DR
Theft,16E20,Service or Gas Station,5400-5499,ANDERSON,RD
Theft,16E20,"Parks and Recreation, Zoo, Swimming Pool",14900-14999,WHITE HEATHER,DR
Theft,16E20,"Road, Street, or Sidewalk",3700-3799,TIFFANY,DR
Theft,16E20,Driveway,3700-3799,TIFFANY,DR
Theft,16E20,Commercial Parking Lot or Garage,3700-3799,OREM,DR
Theft,16E20,Other Parking Lot,4200-4299,OREM,DR
Theft,16E20,Vehicle/Auto Sales/Lease/Auto Parts Store,12500-12599,HIRAM CLARKE,RD
Theft,16E20,Driveway,3800-3899,TIFFANY,DR
Theft,16E20,Driveway,5000-5099,HEATHERBLOOM,DR
Burglary,16E20,Service or Gas Station,4500-4599,FUQUA,ST
Theft,16E20,Office Building,2800-2899,MEIKO,DR
Theft,16E20,Residence or House,14400-14499,DRAYCOTT,LN
Auto Theft,16E20,Apartment Parking Lot,3800-3899,FUQUA,ST
Robbery,16E20,"Hotel, Motel, Inn, Etc.",13600-13699,ALMEDA,RD
Theft,16E20,Bar or Night Club Parking Lot,3500-3599,FUQUA,ST
Theft,16E20,Bar or Night Club,13300-13399,ALMEDA,RD
Theft,16E20,Convenience Store Parking Lot,3600-3699,FUQUA,ST
Auto Theft,16E30,"Road, Street, or Sidewalk",12800-12899,CORDERO,-
Theft,16E30,Drug Store or Medical Supply,5500-5599,OREM,DR
Auto Theft,16E30,Convenience Store Parking Lot,14100-14199,POST OAK,RD
Aggravated Assault,16E30,Apartment,6100-6199,OREM,DR
Aggravated Assault,16E30,Apartment,13900-13999,HILLCROFT,AVE
Theft,16E30,Grocery Store or Supermarket Parking Lot,12300-12399,MAIN,ST
Burglary,16E30,"Daycare, Child Care, or Kindergarten",5200-5299,BOYNTON,DR
Rape,16E30,Residence or House,6100-6199,GREENPARK MANOR,LN
Theft,16E30,Convenience Store,13900-13999,FONDREN,RD
Auto Theft,16E30,"Road, Street, or Sidewalk",6700-6799,LOMA VISTA,-
Theft,16E30,Sexually Oriented Club,13800-13899,POST OAK,RD
Robbery,16E30,Commercial Parking Lot or Garage,5500-5599,OREM,DR
Robbery,16E30,"Road, Street, or Sidewalk",UNK,MAIN EXIT,-
Theft,16E30,Service or Gas Station,12900-12999,POST OAK,RD
Burglary,16E30,Residence or House,4800-4899,LOTUS,ST
Robbery,16E30,Restaurant or Cafeteria,5500-5599,OREM,DR
Murder,16E30,Residence or House,4900-4999,CANCUN,DR
Theft,16E30,Restaurant or Cafeteria,7400-7499,SAM HOUSTON,PKWY
Burglary,16E30,Residence or House,5100-5199,ALLUM,RD
Burglary,16E30,Residence or House,5600-5699,INGOMAR,WAY
Robbery,16E30,"Road, Street, or Sidewalk",6400-6499,BURDINE,CT
Theft,16E30,Apartment,12300-12399,ORMANDY,ST
Auto Theft,16E30,Convenience Store Parking Lot,13200-13299,BUXLEY,ST
Theft,16E30,Restaurant or Cafeteria Parking Lot,5500-5599,OREM,DR
Theft,16E30,Other Parking Lot,12400-12499,POST OAK,RD
Theft,16E30,"Other, Unknown, or Not Listed",6200-6299,MCKINSTRY,BLVD
Theft,16E30,Convenience Store Parking Lot,7000-7099,OREM,DR
Burglary,16E30,"Road, Street, or Sidewalk",13400-13499,ABIDE,DR
Theft,16E30,Apartment Parking Lot,12800-12899,DUNLAP,ST
Theft,16E30,Residence or House,5500-5599,TIGER LILLY,WAY
Theft,16E30,Driveway,6400-6499,MCKINSTRY,BLVD
Burglary,16E30,Residence or House,5400-5499,POST OAK MANOR,DR
Robbery,16E30,Liquor Store,8400-8499,SAM HOUSTON,PKWY
Theft,16E30,Service or Gas Station,15100-15199,POST OAK,RD
Theft,16E30,Service or Gas Station,12900-12999,POST OAK,RD
Theft,16E30,Department or Discount Store,14400-14499,HILLCROFT,AVE
Aggravated Assault,16E30,Residence or House,5600-5699,TIDEWATER,-
Robbery,16E30,Drug Store or Medical Supply,5500-5599,OREM,DR
Aggravated Assault,16E30,Restaurant or Cafeteria Parking Lot,8400-8499,SAM HOUSTON,PKWY
Robbery,16E30,Convenience Store,5200-5299,ALLUM,RD
Auto Theft,16E30,Driveway,6000-6099,LARK HAVEN,LN
Auto Theft,16E30,Apartment Parking Lot,12800-12899,DUNLAP,ST
Robbery,16E30,Grocery Store or Supermarket Parking Lot,12300-12399,MAIN,ST
Theft,16E30,Bar or Night Club Parking Lot,4900-4999,CANCUN,DR
Burglary,16E30,Restaurant or Cafeteria Parking Lot,8400-8499,SAM HOUSTON,PKWY
Theft,16E30,Service or Gas Station,5200-5299,ALLUM,RD
Theft,16E30,Residence or House,12800-12899,DUNLAP,ST
Theft,16E30,Car Wash,12900-12999,POST OAK,RD
Aggravated Assault,16E30,Apartment,12900-12999,POST OAK,RD
Theft,16E30,Nursing Home,5000-5099,ALLUM,RD
Theft,16E30,"Church, Synagogue, or Temple Parking Lot",13000-13099,POST OAK,RD
Robbery,16E30,Apartment Parking Lot,12900-12999,POST OAK,RD
Robbery,16E30,Apartment Parking Lot,12900-12999,POST OAK,RD
Theft,16E30,Vacant Grocery Store or Supermarket,12300-12399,MAIN,ST
Burglary,16E30,Residence or House,5800-5899,COASTAL,WAY
Theft,16E30,Commercial Parking Lot or Garage,6100-6199,FUQUA,ST
Theft,16E30,Service or Gas Station,15100-15199,POST OAK,RD
Burglary,16E30,Commercial Building,14400-14499,HILLCROFT,AVE
Theft,16E30,Apartment Parking Lot,12700-12799,DUNLAP,ST
Theft,16E30,Commercial Parking Lot or Garage,5300-5399,OREM,DR
Theft,16E30,Specialty Store (Non-Specific),14400-14499,HILLCROFT,AVE
Aggravated Assault,16E30,Residence or House,5500-5599,TIDEWATER,-
Robbery,16E30,Restaurant or Cafeteria,7400-7499,SAM HOUSTON,PKWY
Burglary,16E30,Restaurant or Cafeteria,5500-5599,OREM,DR
Theft,16E30,Driveway,5700-5799,INGOMAR,WAY
Auto Theft,16E30,"Road, Street, or Sidewalk",13700-13799,CANCUN,DR
Theft,16E30,Construction Site,5200-5299,ALLUM,RD
Burglary,16E30,Restaurant or Cafeteria,14200-14299,POST OAK,RD
Aggravated Assault,16E30,Residence or House,5600-5699,INGOMAR,WAY
Theft,16E30,Driveway,5600-5699,OAKHAM,-
Theft,16E30,Bar or Night Club Parking Lot,13100-13199,POST OAK,RD
Theft,16E30,Residence or House,5000-5099,ALLUM,RD
Burglary,16E30,Restaurant or Cafeteria,14200-14299,POST OAK,RD
Murder,16E30,"Other, Unknown, or Not Listed",6300-6399,SAM HOUSTON,PKWY
Aggravated Assault,16E30,Residence or House,6200-6299,DARLINGHURST,DR
Burglary,16E30,Restaurant or Cafeteria,5500-5599,OREM,DR
Robbery,16E30,Convenience Store,5500-5599,OREM,DR
Auto Theft,16E30,"Road, Street, or Sidewalk",5300-5399,GLEN RIO,-
Auto Theft,16E30,Auto Repair,5400-5499,OREM,DR
Theft,16E30,Bar or Night Club Parking Lot,13100-13199,POST OAK,RD
Burglary,16E30,Drug Store or Medical Supply,5500-5599,OREM,DR
Theft,16E30,"Church, Synagogue, or Temple Parking Lot",13700-13799,PLAYER,-
Robbery,16E30,Bank or Savings Institution Parking Lot,12400-12499,POST OAK,RD
Theft,16E30,Service or Gas Station,5200-5299,ALLUM,RD
Theft,16E30,Other Parking Lot,13100-13199,POST OAK,RD
Theft,16E30,Service or Gas Station,12900-12999,POST OAK,RD
Robbery,16E30,Service or Gas Station,13900-13999,FONDREN,RD
Theft,16E30,Apartment Parking Lot,12700-12799,POST OAK,RD
Theft,16E30,Apartment Parking Lot,12800-12899,DUNLAP,ST
Robbery,16E30,Apartment,13900-13999,HILLCROFT,AVE
Auto Theft,16E30,"Road, Street, or Sidewalk",5600-5699,DRAKESTONE,BLVD
Theft,16E30,Residence or House,6400-6499,HEATHERBLOOM,DR
Theft,16E40,Convenience Store,15900-15999,POST OAK,RD
Theft,16E40,Other Parking Lot,6600-6699,FUQUA,ST
Burglary,16E40,Restaurant or Cafeteria Parking Lot,16000-16099,POST OAK,RD
Theft,16E40,Department or Discount Store,15900-15999,POST OAK,RD
Robbery,16E40,Convenience Store,6600-6699,FUQUA,ST
Aggravated Assault,16E40,"Road, Street, or Sidewalk",5400-5499,RIDGECREEK,DR
Auto Theft,16E40,Driveway,15700-15799,RIDGEGATE,RD
Aggravated Assault,16E40,Other Parking Lot,5600-5699,MELANITE,AVE
Auto Theft,16E40,"Road, Street, or Sidewalk",15500-15599,WINTER BRIAR,DR
Auto Theft,16E40,Driveway,15800-15899,RIDGECROFT,RD
Theft,16E40,Service or Gas Station,16900-16999,POST OAK,RD
Robbery,16E40,Residence or House,16200-16299,BECK RIDGE,DR
Burglary,16E40,Apartment,14000-14099,FONDREN,RD
Theft,16E40,"Parks and Recreation, Zoo, Swimming Pool",5600-5699,COURT,RD
Theft,16E40,"Other, Unknown, or Not Listed",8200-8299,QUAIL HILLS,DR
Auto Theft,16E40,Department or Discount Store,15900-15999,POST OAK,RD
Robbery,16E40,"Road, Street, or Sidewalk",15800-15899,RIDGECROFT,RD
Theft,16E40,Grocery Store or Supermarket Parking Lot,15900-15999,POST OAK,RD
Theft,16E40,Residence or House,16700-16799,SENTINEL,DR
Robbery,16E40,Driveway,5400-5499,RIDGEMONT PLACE,-
Aggravated Assault,16E40,Residence or House,6000-6099,SANTA CHRISTI,DR
Robbery,16E40,"Road, Street, or Sidewalk",4600-4699,CALLERY CREEK,DR
Auto Theft,16E40,Residence or House,5300-5399,RIDGETURN,DR
Auto Theft,16E40,"Road, Street, or Sidewalk",5200-5299,RIDGEWEST,DR
Auto Theft,16E40,Apartment Parking Lot,14000-14099,FONDREN,RD
Theft,16E40,Driveway,7800-7899,CHASEFIELD,DR
Theft,16E40,"Road, Street, or Sidewalk",14600-14699,CHASEVILLAGE,DR
Auto Theft,16E40,Driveway,16200-16299,SAMOA,WAY
Auto Theft,16E40,Driveway,5400-5499,CASTLECREEK,LN
Burglary,16E40,Residence or House,5500-5599,LYDEN RIDGE,DR
Auto Theft,16E40,"Road, Street, or Sidewalk",6900-6999,ROCKERGATE,DR
Burglary,16E40,Residence or House,7700-7799,SIGN,-
Theft,16E40,Residence or House,15900-15999,DARTON,DR
Auto Theft,16E40,Driveway,15700-15799,RIDGEGATE,RD
Aggravated Assault,16E40,"Road, Street, or Sidewalk",16500-16599,QUAIL DALE,DR
Burglary,16E40,Residence or House,7700-7799,SIGN,-
Theft,16E40,"Road, Street, or Sidewalk",4600-4699,CALLERY CREEK,DR
Burglary,16E40,Residence or House,5400-5499,REGAL RIDGE,LN
Theft,16E40,Garage or Carport,15100-15199,CAROLCHASE,CIR
Burglary,16E40,Residence or House,16400-16499,QUAIL PARK,DR
Robbery,16E40,Liquor Store,15900-15999,POST OAK,RD
Robbery,16E40,Convenience Store,16400-16499,POST OAK,RD
Aggravated Assault,16E40,"Road, Street, or Sidewalk",15700-15799,SAMOA,WAY
Aggravated Assault,16E40,Residence or House,6200-6299,CANERIDGE,-
Theft,16E40,Driveway,4900-4999,RIDGE HARBOR,DR
Burglary,16E40,Garage or Carport,6600-6699,ROWELL,CT
Burglary,16E40,Residence or House,15900-15999,DARTON,DR
Auto Theft,16E40,Driveway,16500-16599,AMY RIDGE,RD
Theft,16E40,Miscellaneous Business (Non-Specific),3700-3799,MCHARD,RD
Theft,16E40,Residence or House,15900-15999,PRYOR,DR
Burglary,16E40,Residence or House,16500-16599,MONTE CARLO,LN
Aggravated Assault,16E40,Residence or House,6600-6699,ROCKERGATE,DR
Robbery,16E40,"Road, Street, or Sidewalk",4800-4899,RIDGESTONE,LN
Aggravated Assault,16E40,Residence or House,16400-16499,LAZY RIDGE,RD
Theft,16E40,"Road, Street, or Sidewalk",12700-12799,VERDANT BROOK,DR
Auto Theft,16E40,Driveway,16600-16699,QUAIL MEADOW,DR
Theft,16E40,"Other, Unknown, or Not Listed",15500-15599,RAVEN,TRL
Theft,16E40,Strip Business Center Parking Lot,15900-15999,POST OAK,RD
Burglary,16E40,Residence or House,15600-15699,FALL BRIAR,DR
Burglary,16E40,Garage or Carport,15800-15899,ALGER,DR
Theft,16E40,Drug Store or Medical Supply,16200-16299,POST OAK,RD
Theft,16E40,Driveway,15000-15099,FOUR WINDS,DR
Robbery,16E40,Residence or House,5000-5099,RIDGEVAN,DR
Robbery,16E40,Residence or House,4700-4799,BEECHAVEN,DR
Aggravated Assault,16E40,Residence or House,15900-15999,RUPPSTOCK,RD
Theft,16E40,Department or Discount Store,15900-15999,POST OAK,RD
Theft,16E40,Convenience Store,16200-16299,POST OAK,RD
Burglary,16E40,Residence or House,6000-6099,BEACONRIDGE,DR
Theft,16E40,"Road, Street, or Sidewalk",4700-4799,RIDGECREEK,DR
Burglary,16E40,Apartment,14000-14099,FONDREN,RD
Theft,16E40,Auto Repair,16000-16099,MALADI,DR
Theft,16E40,Other Parking Lot,5600-5699,COURT,RD
Burglary,16E40,Apartment,14000-14099,FONDREN,RD
Theft,16E40,Drug Store or Medical Supply,16200-16299,POST OAK,RD
Robbery,16E40,Residence or House,4700-4799,CROKER RIDGE,RD
Burglary,16E40,Residence or House,4800-4899,PRAIRIE RIDGE,RD
Theft,17E10,Grocery Store or Supermarket Parking Lot,5300-5399,RICE,AVE
Robbery,17E10,"Road, Street, or Sidewalk",6300-6399,MAPLERIDGE,-
Aggravated Assault,17E10,Jail or Prison,6500-6599,CHIMNEY ROCK,RD
Theft,17E10,Apartment Parking Lot,5400-5499,CHIMNEY ROCK,RD
Theft,17E10,Department or Discount Store,7200-7299,HILLCROFT,AVE
Aggravated Assault,17E10,Apartment,6700-6799,HORNWOOD,DR
Theft,17E10,Miscellaneous Business (Non-Specific),6400-6499,HILLCROFT,AVE
Burglary,17E10,Warehouse,5900-5999,JESSAMINE,-
Theft,17E10,Other Parking Lot,7000-7099,SOUTHWEST,FWY
Auto Theft,17E10,Apartment Parking Lot,5400-5499,RENWICK,-
Theft,17E10,"Physician, Doctor, Dentist's Office",6400-6499,HIGH STAR,DR
Theft,17E10,"Hotel, Motel, Inn, Etc.",6800-6899,HORNWOOD,DR
Theft,17E10,"Laundry, Dry Cleaners, Washaterias",6000-6099,CHIMNEY ROCK,RD
Robbery,17E10,Convenience Store,7100-7199,BELLAIRE,BLVD
Robbery,17E10,Apartment,5900-5999,BISSONNET,ST
Theft,17E10,Apartment Parking Lot,6600-6699,BELLAIRE,BLVD
Theft,17E10,Service or Gas Station,7100-7199,BELLAIRE,BLVD
Theft,17E10,Hotel or Motel Parking Lot,6600-6699,SOUTHWEST,FWY
Theft,17E10,"Toys, Arts Craft,Musical, Bike,Pet Stores",5800-5899,BELLAIRE,BLVD
Theft,17E10,Rental Storage Facility,5400-5499,ALDER,DR
Theft,17E10,Other Parking Lot,5300-5399,RICE,AVE
Rape,17E10,Apartment,5500-5599,EL CAMINO DEL REY,ST
Robbery,17E10,"Road, Street, or Sidewalk",5300-5399,CLAREWOOD,DR
Theft,17E10,Service or Gas Station,5600-5699,SOUTHWEST,FWY
Aggravated Assault,17E10,Apartment,5600-5699,CHIMNEY ROCK,RD
Auto Theft,17E10,Apartment Parking Lot,5500-5599,EL CAMINO DEL REY,ST
Theft,17E10,Apartment Parking Lot,6500-6599,HILLCROFT,AVE
Burglary,17E10,Apartment,5500-5599,EL CAMINO DEL REY,ST
Robbery,17E10,"Road, Street, or Sidewalk",6700-6799,ROOKIN,ST
Robbery,17E10,"Road, Street, or Sidewalk",7200-7299,MULLINS,DR
Theft,17E10,Convenience Store,6200-6299,CHIMNEY ROCK,RD
Theft,17E10,,6500-6599,HILLCROFT,AVE
Theft,17E10,Apartment Parking Lot,6600-6699,DUNLAP,ST
Theft,17E10,Convenience Store,5900-5999,RENWICK,-
Rape,17E10,Apartment,7300-7399,MULLINS,DR
Burglary,17E10,Rental Storage Facility,5400-5499,ALDER,DR
Theft,17E10,Strip Business Center Parking Lot,5300-5399,RICE,AVE
Theft,17E10,Apartment Parking Lot,6600-6699,ATWELL,DR
Robbery,17E10,"Other, Unknown, or Not Listed",5700-5799,GLENMONT,DR
Aggravated Assault,17E10,Apartment,6400-6499,ATWELL,DR
Theft,17E10,Grocery Store or Supermarket,5400-5499,RICE,AVE
Theft,17E10,Apartment Parking Lot,6300-6399,WESTWARD,ST
Theft,17E10,Middle School,6700-6799,BELLAIRE,BLVD
Theft,17E10,Residence or House,6000-6099,BELLAIRE,BLVD
Theft,17E10,Residence or House,6600-6699,ATWELL,DR
Burglary,17E10,Miscellaneous Business (Non-Specific),5800-5899,BELLAIRE,BLVD
Aggravated Assault,17E10,Apartment,6600-6699,CHIMNEY ROCK,RD
Theft,17E10,Commercial Parking Lot or Garage,5900-5999,CHIMNEY ROCK,RD
Theft,17E10,Grocery Store or Supermarket Parking Lot,6400-6499,HILLCROFT,AVE
Theft,17E10,Apartment Parking Lot,7700-7799,RENWICK,-
Robbery,17E10,Bus Stop,5900-5999,BELLAIRE,BLVD
Auto Theft,17E10,Apartment Parking Lot,6200-6299,WESTWARD,ST
Theft,17E10,Apartment,6400-6499,WESTWARD,ST
Robbery,17E10,"Hotel, Motel, Inn, Etc.",6800-6899,HORNWOOD,DR
Theft,17E10,Residence or House,5900-5999,BISSONNET,ST
Robbery,17E10,"Electronics Store, Electrical Supplies",5900-5999,GULFTON,-
