Offense Type,Premise,BlockRange,StreetName,Type
Theft,"Road, Street, or Sidewalk",1200-1299,SAINT EMANUEL,ST
Theft,Bar or Night Club,1500-1599,SAINT EMANUEL,ST
Robbery,"Road, Street, or Sidewalk",900-999,BASTROP,ST
Theft,"Road, Street, or Sidewalk",2700-2799,DALLAS,ST
Theft,"Road, Street, or Sidewalk",2800-2899,DALLAS,ST
Theft,"Road, Street, or Sidewalk",2600-2699,MCKINNEY,ST
Theft,Apartment Parking Lot,2300-2399,POLK,-
Theft,"Road, Street, or Sidewalk",2000-2099,LAMAR,-
Theft,Construction Site,1600-1699,SAMPSON,-
Theft,"Road, Street, or Sidewalk",1100-1199,DELANO,-
Burglary,Bar or Night Club,2000-2099,WALKER,ST
Theft,"Road, Street, or Sidewalk",1100-1199,DELANO,-
Theft,Service or Gas Station,3500-3599,GULF,FWY
Theft,"Road, Street, or Sidewalk",2200-2299,MCKINNEY,ST
Theft,Driveway,800-899,DELANO,-
Theft,"Road, Street, or Sidewalk",2300-2399,PEASE,ST
Theft,Miscellaneous Business (Non-Specific),400-499,DOWLING,ST
Theft,Other Parking Lot,1600-1699,HUTCHINS,-
Auto Theft,Convenience Store Parking Lot,3500-3599,GULF,FWY
Theft,Other Parking Lot,1500-1599,DOWLING,ST
Theft,"Road, Street, or Sidewalk",1400-1499,ISABELLA,-
Theft,"Road, Street, or Sidewalk",800-899,WINBERN,-
Theft,Construction Site,3800-3899,TRAVIS,-
Theft,Grocery Store or Supermarket,4200-4299,SAN JACINTO,ST
Theft,Restaurant or Cafeteria Parking Lot,2600-2699,FANNIN,ST
Theft,Miscellaneous Business (Non-Specific),2400-2499,CAROLINE,ST
Robbery,Bus Station,4500-4599,MAIN,ST
Theft,"Road, Street, or Sidewalk",800-899,WINBERN,-
Theft,Bus Stop,2100-2199,MAIN,ST
Theft,Other Parking Lot,2400-2499,SAN JACINTO,ST
Robbery,"Road, Street, or Sidewalk",2100-2199,FANNIN,ST
Aggravated Assault,Light Rail Platform,4500-4599,MAIN,ST
Theft,Other Parking Lot,3600-3699,MILAM,-
Robbery,"Road, Street, or Sidewalk",1300-1399,GRAY,ST
Burglary,,2700-2799,TRAVIS,-
Theft,Residence or House,3600-3699,CHENEVERT,-
Theft,Driveway,3600-3699,CHENEVERT,-
Theft,Fire Station,1400-1499,ELGIN,ST
Theft,Service or Gas Station,2200-2299,MAIN,ST
Theft,"Road, Street, or Sidewalk",700-799,ROSALIE,-
Theft,Residence or House,800-899,WINBERN,-
Theft,Restaurant or Cafeteria,UNK,WESTHEIMER AND HWY 6,-
Theft,Miscellaneous Business (Non-Specific),3100-3199,HAMILTON,ST
Aggravated Assault,"Road, Street, or Sidewalk",2200-2299,SAN JACINTO,ST
Theft,"Road, Street, or Sidewalk",3300-3399,MILAM,-
Theft,"Road, Street, or Sidewalk",1000-1099,HOLMAN,-
Theft,"Road, Street, or Sidewalk",800-899,BERRY,ST
Theft,Commercial Parking Lot or Garage,3500-3599,MAIN,ST
Theft,Other Parking Lot,2800-2899,MILAM,-
Theft,"Road, Street, or Sidewalk",1100-1199,BERRY,ST
Theft,"Road, Street, or Sidewalk",3800-3899,AUSTIN,ST
Theft,Commercial Parking Lot or Garage,3000-3099,TRAVIS,-
Theft,Residence or House,1300-1399,ANITA,ST
Auto Theft,Commercial Parking Lot or Garage,4200-4299,SAN JACINTO,ST
Theft,Restaurant or Cafeteria Parking Lot,2800-2899,MILAM,-
Theft,"Road, Street, or Sidewalk",800-899,BERRY,ST
Aggravated Assault,Service or Gas Station,4500-4599,TRAVIS,-
Theft,Driveway,1500-1599,ELGIN,ST
Auto Theft,Apartment Parking Lot,2500-2599,MAIN,ST
Theft,Other Parking Lot,1000-1099,ELGIN,ST
Theft,"Road, Street, or Sidewalk",2700-2799,TRAVIS,-
Theft,"Road, Street, or Sidewalk",3400-3499,FANNIN,ST
Theft,"Other, Unknown, or Not Listed",1300-1399,HOLMAN,-
Theft,Apartment Parking Lot,4000-4099,FANNIN,ST
Theft,"Road, Street, or Sidewalk",4000-4099,LA BRANCH,-
Theft,"Road, Street, or Sidewalk",3300-3399,MILAM,-
Aggravated Assault,Rental Storage Facility,3000-3099,SAN JACINTO,ST
Theft,Commercial Parking Lot or Garage,1900-1999,GRAY,ST
Theft,"Road, Street, or Sidewalk",3300-3399,MILAM,-
Theft,"Other, Unknown, or Not Listed",3200-3299,LOUISIANA,ST
Burglary,Residence or House,3300-3399,CHENEVERT,-
Robbery,"Road, Street, or Sidewalk",2500-2599,FANNIN,ST
Theft,Residence or House,1300-1399,ROSALIE,-
Burglary,Restaurant or Cafeteria,1100-1199,HOLMAN,-
Theft,"Road, Street, or Sidewalk",3300-3399,JACKSON,ST
Robbery,"Road, Street, or Sidewalk",900-999,GRAY,ST
Theft,"Road, Street, or Sidewalk",1500-1599,HADLEY,ST
Theft,Other Parking Lot,2100-2199,LOUISIANA,ST
Theft,Convenience Store,2100-2199,FANNIN,ST
Theft,"Road, Street, or Sidewalk",3500-3599,FANNIN,ST
Theft,"Road, Street, or Sidewalk",1800-1899,DREW,ST
Burglary,Restaurant or Cafeteria,1100-1199,HOLMAN,-
Aggravated Assault,"Road, Street, or Sidewalk",1200-1299,WHEELER,ST
Robbery,Light Rail Platform,4500-4599,MAIN,ST
Auto Theft,Apartment Parking Lot,700-799,MCGOWEN,ST
Theft,Miscellaneous Business (Non-Specific),1900-1999,GRAY,ST
Theft,Office Building,2100-2199,CRAWFORD,ST
Theft,,1500-1599,HADLEY,ST
Robbery,"Road, Street, or Sidewalk",3300-3399,CAROLINE,ST
