Offense Type,Premise,BlockRange,StreetName,Type
Theft,Residence or House,1800-1899,SHEARN,ST
Aggravated Assault,Apartment,2200-2299,JEFFERSON,ST
Burglary,Apartment,400-499,DOWLING ST,ST
Aggravated Assault,Middle School,1100-1199,SCOTT,ST
Theft,Miscellaneous Business (Non-Specific),2100-2199,WALKER ST,ST
Theft,Residence or House,1800-1899,SHEARN,-
Theft,"Road, Street, or Sidewalk",2100-2199,CLAY ST,ST
Robbery,"Road, Street, or Sidewalk",900-999,TWINBROOKE,DR
Theft,"Road, Street, or Sidewalk",200-299,EMANCIPATION AVE,-
Theft,Residence or House,3400-3499,POLK,-
Theft,Bar or Night Club,1500-1599,SAINT EMANUEL ST,ST
Theft,"Road, Street, or Sidewalk",2200-2299,MCKINNEY ST,ST
Theft,Service or Gas Station,3500-3599,GULF,FWY
Theft,"Road, Street, or Sidewalk",4800-4899,PIN OAK,PRK
Theft,Residence or House,1300-1399,LIVE OAK,-
Theft,Other Parking Lot,2200-2299,DALLAS ST,ST
Theft,"Road, Street, or Sidewalk",2000-2099,WALKER ST,ST
Theft,Bar or Night Club Parking Lot,1500-1599,SAINT EMANUEL ST,ST
Aggravated Assault,Social Services or Public Charities,400-499,EMANCIPATION AVE,-
Theft,Bar or Night Club Parking Lot,2100-2199,POLK,-
Theft,Bar or Night Club Parking Lot,1500-1599,SAINT EMANUEL ST,ST
Theft,Bar or Night Club Parking Lot,3300-3399,EARL,ST
Theft,"Road, Street, or Sidewalk",1200-1299,TRAVIS,ST
Theft,"Road, Street, or Sidewalk",700-799,LIVE OAK,-
Theft,"Road, Street, or Sidewalk",2500-2599,CAPITOL ST,ST
Theft,Apartment Parking Lot,2300-2399,POLK,-
Theft,"Road, Street, or Sidewalk",800-899,ENNIS ST,ST
Theft,Bar or Night Club Parking Lot,800-899,SAINT EMANUEL ST,ST
Theft,"Road, Street, or Sidewalk",29900-29999,ADOBE FALLS DRIVE,-
AutoTheft,"Road, Street, or Sidewalk",7400-7499,HARWIN,DR
Aggravated Assault,"Road, Street, or Sidewalk",1900-1999,COMMERCE ST,ST
Theft,Other Parking Lot,1300-1399,PO BOX 645,-
Theft,"Road, Street, or Sidewalk",2800-2899,CLAY ST,ST
Theft,"Road, Street, or Sidewalk",1600-1699,HUTCHINS ST,ST
Aggravated Assault,Other Parking Lot,2300-2399,BRIARWEST,ST
Theft,Other Parking Lot,1600-1699,CHERRY RIDGE,DR
Theft,Restaurant or Cafeteria Parking Lot,2000-2099,COMMERCE ST,ST
Theft,"Road, Street, or Sidewalk",14800-14899,FM 279,-
Theft,"Other, Unknown, or Not Listed",400-499,EMANCIPATION AVE,-
AutoTheft,"Road, Street, or Sidewalk",2500-2599,DALLAS ST,ST
Rape,Apartment,2200-2299,JEFFERSON ST,ST
Theft,"Road, Street, or Sidewalk",2000-2099,COMMERCE ST,ST
Theft,Residence or House,1700-1799,HUTCHINS ST,ST
Theft,Residence or House,1400-1499,PALMER ST,ST
Robbery,"Road, Street, or Sidewalk",1400-1499,EMANCIPATION AVE,-
Theft,Other Parking Lot,9000-9099,IRON SPRINGS,-
Theft,"Road, Street, or Sidewalk",6900-6999,OAK VILLAGE,DR
Theft,Service or Gas Station,3600-3699,DENNIS STREET,-
Robbery,Other Parking Lot,2100-2199,FANNIN ST,ST
Robbery,Service or Gas Station,2000-2099,FANNIN ST,ST
Aggravated Assault,Other Parking Lot,6700-6799,NEW YORK,-
Theft,"Road, Street, or Sidewalk",1700-1799,WINBERN,-
Theft,"Road, Street, or Sidewalk",1700-1799,WINBERN,-
Theft,Commercial Parking Lot or Garage,2600-2699,LOUISIANA ST,ST
Theft,"Road, Street, or Sidewalk",12900-12999,LAGUNA VISTA,LN
AutoTheft,"Road, Street, or Sidewalk",1000-1099,LOOP,-
Theft,"Road, Street, or Sidewalk",2200-2299,JACKSON ST,ST
