Offense Type,Premise,BlockRange,StreetName,Type
Burglary,Warehouse,2300-2399,JEFFERSON ST,ST
Theft,Residence or House,1700-1799,ADEN DR,-
Theft,Service or Gas Station,UNK,GULF FWY IB/SCOTT OBIB,-
Theft,"Road, Street, or Sidewalk",900-999,SAINT CHARLES,-
Aggravated Assault,"Road, Street, or Sidewalk",3400-3499,FANNIN,ST
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,-
Robbery,"Road, Street, or Sidewalk",3400-3499,GULF FWY IB,-
Theft,"Road, Street, or Sidewalk",200-299,HUTCHINS ST,ST
Theft,"Road, Street, or Sidewalk",300-399,JOYCE,ST
Theft,"Road, Street, or Sidewalk",10200-10299,GLENWOOD,DR
Theft,Bar or Night Club Parking Lot,3400-3499,APPLE ORCHARD,RD
Theft,"Road, Street, or Sidewalk",1400-1499,DELANO,ST
Robbery,Other Parking Lot,1300-1399,HUTCHINS ST,ST
Robbery,"Road, Street, or Sidewalk",1100-1199,ST CHARLES,-
Theft,Restaurant or Cafeteria,6400-6499,LARRYCREST,ST
Theft,"Road, Street, or Sidewalk",1300-1399,ROBERTS ST,ST
Burglary,Bar or Night Club,2400-2499,MAIN ST,ST
Aggravated Assault,Apartment,4600-4699,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",3600-3699,CHENEVERT ST,ST
Theft,Apartment Parking Lot,1500-1599,ALABAMA ST,ST
AutoTheft,"Church, Synagogue, or Temple Parking Lot",2000-2099,P.O. BOX 52250,-
Theft,Residence or House,1400-1499,MCILHENNY ST,ST
Burglary,Grocery Store or Supermarket,4200-4299,SAN JACINTO,ST
Theft,Restaurant or Cafeteria,2800-2899,MILAM,-
Burglary,Apartment,2200-2299,AUSTIN,ST
Aggravated Assault,"Road, Street, or Sidewalk",4600-4699,MAIN,ST
Theft,"Road, Street, or Sidewalk",100-199,S US 59 FWY OB,-
Theft,Other Parking Lot,3200-3299,LOUISIANA ST,ST
Theft,Bus Station,2100-2199,MAIN ST,ST
Robbery,"Road, Street, or Sidewalk",3400-3499,FANNIN,ST
Aggravated Assault,"Road, Street, or Sidewalk",1200-1299,DENNIS,ST
Theft,Light Rail Platform,4500-4599,FANNIN ST,ST
Theft,Bus Station,2100-2199,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",21000-21099,JESSICA ROSE,LN
Theft,"Road, Street, or Sidewalk",15800-15899,JERSEY,DR
Theft,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST
Theft,Bar or Night Club,2400-2499,SAN JACINTO,-
Theft,Residence or House,1300-1399,MALONE,ST
Aggravated Assault,"Road, Street, or Sidewalk",1300-1399,GRAY,ST
Theft,Other Parking Lot,500-599,SOUTHWEST FWY,-
Theft,Grocery Store or Supermarket,4200-4299,SAN JACINTO,ST
Theft,"Road, Street, or Sidewalk",1100-1199,MCILHENNY ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",4200-4299,SAN JACINTO ST,ST
Theft,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO ST,ST
Theft,"Road, Street, or Sidewalk",3800-3899,ALMEDA RD,RD
Theft,"Road, Street, or Sidewalk",13800-13899,SUNSET VIEW,DR
Theft,Miscellaneous Business (Non-Specific),2900-2999,MAIN,ST
Burglary,Condominium,2800-2899,AUSTIN STREET,-
Theft,Commercial Parking Lot or Garage,3200-3299,LOUISIANA ST,ST
Theft,"Road, Street, or Sidewalk",3800-3899,LA BRANCH,-
Theft,"Road, Street, or Sidewalk",1000-1099,WINBERN,-
Theft,"Road, Street, or Sidewalk",15700-15799,STONEHAVEN,DR
Theft,Driveway,2200-2299,LA BRANCH,-
Theft,Apartment Parking Lot,2300-2399,MAIN ST,ST
Theft,Residence or House,3800-3899,SAN JACINTO,ST
AutoTheft,"Road, Street, or Sidewalk",900-999,ALABAMA ST,ST
Theft,"Road, Street, or Sidewalk",2200-2299,MILAM,-
Theft,"Road, Street, or Sidewalk",3900-3999,LA BRANCH,-
Theft,"Road, Street, or Sidewalk",3700-3799,TRAVIS ST,ST
Robbery,Department or Discount Store,4200-4299,MAIN,ST
Theft,Bar or Night Club,2300-2399,MAIN ST,ST
Theft,Residence or House,1400-1499,ISABELLA,-
Theft,"Road, Street, or Sidewalk",20700-20799,RUBBLE LANE,-
Theft,"Road, Street, or Sidewalk",900-999,BERRY ST,ST
Theft,"Road, Street, or Sidewalk",4000-4099,FANNIN ST 4621,-
Theft,"Road, Street, or Sidewalk",1400-1499,TAHOE VALLEY,LN
Theft,"Road, Street, or Sidewalk",2200-2299,MILAM,-
AutoTheft,"Road, Street, or Sidewalk",1200-1299,MCGOWEN ST,ST
Theft,Hospital,2400-2499,FANNIN ST,ST
Theft,"Road, Street, or Sidewalk",3600-3699,FANNIN ST,ST
Robbery,"Road, Street, or Sidewalk",2900-2999,CHENEVERT ST,ST
AutoTheft,Commercial Parking Lot or Garage,2200-2299,MAIN ST,ST
Theft,Service or Gas Station,1000-1099,PRESTON ROAD,-
Robbery,"Road, Street, or Sidewalk",2100-2199,FANNIN ST,ST
Robbery,"Road, Street, or Sidewalk",1100-1199,MCGOWEN ST,ST
Theft,"Road, Street, or Sidewalk",1300-1399,MCILHENNY ST,ST
Theft,"Road, Street, or Sidewalk",2200-2299,MAIN ST,ST
Theft,"Other, Unknown, or Not Listed",1300-1399,MCILHENNY ST,ST
Murder,Convenience Store Parking Lot,2100-2199,FANNIN ST,ST
Burglary,Residence or House,2200-2299,LA BRANCH,-
Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,2000-2099,MILAM,-
Robbery,Grocery Store or Supermarket,4200-4299,SAN JACINTO,ST
Aggravated Assault,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST
AutoTheft,"Hotel, Motel, Inn, Etc.",4500-4599,ISFALL PARK PLACE,-
Theft,Residence or House,1100-1199,MCILHENNY,ST
Theft,"Road, Street, or Sidewalk",9400-9499,WHITE DIAMOND LANE,-
Theft,"Road, Street, or Sidewalk",9200-9299,LAKE PARK,-
Theft,Grocery Store or Supermarket Parking Lot,2200-2299,LOUISIANA ST,ST
Theft,"Road, Street, or Sidewalk",700-799,MCGOWEN ST,ST
Robbery,"Road, Street, or Sidewalk",2500-2599,FANNIN ST,ST
Theft,"Road, Street, or Sidewalk",3500-3599,CRAWFORD ST,ST
Theft,"Road, Street, or Sidewalk",2500-2599,BERRY,LN
Robbery,"Road, Street, or Sidewalk",3000-3099,SAN JACINTO ST,ST
Theft,"Road, Street, or Sidewalk",1400-1499,ISABELLA,-
Rape,Apartment,4600-4699,MAIN ST,ST
Theft,Other Parking Lot,3300-3399,GLENHILL,CT
Theft,"Other, Unknown, or Not Listed",2400-2499,CRAWFORD,RD
Theft,Residence or House,3200-3299,LA BRANCH,-
Theft,Residence or House,1500-1599,TRUXILLO,-
Theft,Garage or Carport,2200-2299,LA BRANCH,-
Theft,Light Rail Platform,3600-3699,MAIN ST,ST
Burglary,Apartment,4000-4099,FANNIN ST,ST
Aggravated Assault,Freeway Service Road,1600-1699,CLEBURNE ST,ST
Burglary,Bar or Night Club,2400-2499,MAIN,ST
Theft,Convenience Store,2100-2199,SAN JACINTO ST,ST
Theft,Grocery Store or Supermarket,4200-4299,SAN JACINTO ST,ST
Robbery,Bus Stop,1000-1099,WHEELER ST,ST
Theft,Residence or House,2300-2399,JACKSON ST,ST
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,-
Theft,"Road, Street, or Sidewalk",1000-1099,MCGOWEN ST,ST
Theft,Bar or Night Club Parking Lot,900-999,BRIAR RIDGE,-
Theft,"Road, Street, or Sidewalk",3400-3499,FANNIN,ST
Theft,"Road, Street, or Sidewalk",400-499,VELASCO,-
Theft,Apartment Parking Lot,4000-4099,CAROLINE ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",5000-5099,GREN,-
Theft,Driveway,2700-2799,CHENEVERT ST,ST
Theft,"Road, Street, or Sidewalk",700-799,HADLEY ST,ST
Robbery,"Road, Street, or Sidewalk",2000-2099,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",4400-4499,SAN JACINTO ST,ST
Theft,Apartment Rental Office,4000-4099,FANNIN ST,ST
Theft,Apartment Parking Lot,3000-3099,CHENEVERT ST,ST
AutoTheft,"Road, Street, or Sidewalk",3000-3099,CHENEVERT ST,ST
Aggravated Assault,Highway or Freeway,8600-8699,BIRD RUN,DR
Theft,"Road, Street, or Sidewalk",1200-1299,DUNSTAN,RD
AutoTheft,Service or Gas Station,3500-3599,ELGIN ST,ST
Rape,Residence or House,9900-9999,RICHMOND AVE APT,-
Burglary,Residence or House,3200-3299,NETTLETON,-
Burglary,Garage or Carport,2800-2899,WINBERN,-
Theft,Apartment,3100-3199,GRAY ST,ST
Theft,Convenience Store,2700-2799,SCOTT ST,ST
Robbery,Bus Stop,3500-3599,SCOTT ST,ST
Theft,Convenience Store,4600-4699,HOWARD LANE - SUITE 200,-
Aggravated Assault,"Road, Street, or Sidewalk",7200-7299,PINE BOWER,CT
Burglary,Residence or House,3100-3199,DREW ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",3300-3399,WEBSTER,ST
Theft,Residence or House,3200-3299,2 ENNIS STREET,-
Aggravated Assault,"Parks and Recreation, Zoo, Swimming Pool",2200-2299,BLODGETT APT 2,-
Burglary,Residence or House,2200-2299,HUTCHINS ST,ST
Burglary,Residence or House,3700-3799,BURKETT ST,ST
Burglary,Residence or House,3100-3199,CAROLINE ST APT 6,-
Theft,Convenience Store,3300-3399,EMANCIPATION,AVE
Theft,Apartment,2500-2599,WEBSTER ST,ST
Theft,"Road, Street, or Sidewalk",3300-3399,DENNIS ST,ST
Theft,"Road, Street, or Sidewalk",3400-3499,FANNIN,ST
Burglary,Residence or House,2900-2999,CLEBURNE ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",3400-3499,DELANO,ST
Robbery,Liquor Store,3000-3099,MCILHENNY,-
Aggravated Assault,"Road, Street, or Sidewalk",14400-14499,MORINSCOTT,-
Theft,Miscellaneous Business (Non-Specific),1100-1199,MANORGLEN DR.,-
Burglary,Residence or House,4200-4299,GALESBURG,-
Theft,"Other, Unknown, or Not Listed",UNK,CULLEN OBIB/GULF FWY OB,-
Theft,Driveway,2500-2599,FRANCIS ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",3100-3199,SAMPSON,ST
Burglary,"Church, Synagogue, or Temple",3800-3899,LIVE OAK,-
Robbery,"Road, Street, or Sidewalk",2700-2799,SCOTT ST,ST
Aggravated Assault,Residence or House,3200-3299,NETTLETON,ST
Theft,Driveway,2700-2799,NAGLE,-
Aggravated Assault,"Road, Street, or Sidewalk",3300-3399,WINBERN,-
Robbery,"Road, Street, or Sidewalk",14000-14099,EAST 21ST,ST
Theft,Residence or House,2100-2199,MCILHENNY ST,ST
