Offense Type,Premise,BlockRange,StreetName,Type
Theft,"Road, Street, or Sidewalk",2000-2099,MCKINNEY ST,ST
AutoTheft,Commercial Parking Lot or Garage,2200-2299,WALKER ST,ST
Theft,Bar or Night Club,12500-12599,GOTHAM,DR
Aggravated Assault,"Road, Street, or Sidewalk",14300-14399,BUFFALO SPEEDWAY,-
Theft,"Road, Street, or Sidewalk",2100-2199,POLK,-
AutoTheft,"Road, Street, or Sidewalk",2100-2199,ELGIN,-
Theft,Commercial Parking Lot or Garage,600-699,SAINT EMANUEL ST,ST
Theft,"Road, Street, or Sidewalk",2300-2399,WALKER,ST
Burglary,Apartment,2100-2199,CAPITOL ST,ST
AutoTheft,"Road, Street, or Sidewalk",1600-1699,BASTROP ST,ST
Theft,Residence or House,3100-3199,BELL ST,ST
Theft,Other Parking Lot,2900-2999,DALLAS,ST
Theft,Commercial Parking Lot or Garage,2600-2699,WESTHOLLOW DR APT 2520,-
Theft,"Road, Street, or Sidewalk",2000-2099,BELL ST,ST
Theft,"Road, Street, or Sidewalk",1500-1599,PALMER ST,ST
Theft,Residence or House,1700-1799,SCARBOROUGH,LN
Theft,Bar or Night Club Parking Lot,1500-1599,SAINT EMANUEL ST,ST
Theft,Restaurant or Cafeteria,2000-2099,COMMERCE,ST
Theft,Bar or Night Club Parking Lot,1500-1599,SAINT EMANUEL ST,ST
Robbery,Convenience Store,3500-3599,PO BOX,-
Theft,Other Parking Lot,2200-2299,LEELAND,-
Theft,Apartment,1700-1799,ADEN DR,-
Theft,"Road, Street, or Sidewalk",2000-2099,LEELAND,-
Theft,Other Parking Lot,1000-1099,HUTCHINS ST,ST
Burglary,Residence or House,1300-1399,DELANO,ST
Theft,Light Rail Platform,2200-2299,TEXAS AVE,-
Rape,"Stadium, Sports Arena, Race Track",100-199,E. SABINE,-
Theft,"Road, Street, or Sidewalk",6500-6599,LOCH LANGHAM,DR
Theft,Service or Gas Station,3500-3599,GULF,FWY
Theft,Other Parking Lot,1500-1599,20TH AVE.,-
Theft,"Road, Street, or Sidewalk",2200-2299,DALLAS ST,ST
Theft,Other Parking Lot,1200-1299,SAINT EMANUEL ST,ST
Rape,"Hotel, Motel, Inn, Etc.",2100-2199,MAIN ST IB,-
Burglary,Residence or House,2200-2299,BALDWIN ST.,-
Theft,Apartment Parking Lot,2300-2399,MILAM,-
Theft,Residence or House,2600-2699,LOUISIANA ST,ST
AutoTheft,Apartment Parking Lot,2300-2399,MAIN ST OB,-
Theft,Residence or House,2300-2399,MAIN ST OB,-
Theft,Restaurant or Cafeteria Parking Lot,3700-3799,TRAVIS,-
Theft,Apartment Parking Lot,700-799,MCGOWEN ST,ST
Theft,Restaurant or Cafeteria Parking Lot,5500-5599,HICKORY HARVEST,ST
Theft,Apartment Parking Lot,2400-2499,MILAM,-
Theft,"Road, Street, or Sidewalk",1700-1799,WEBSTER ST,ST
Theft,"Road, Street, or Sidewalk",3300-3399,MILAM,-
Theft,Residence or House,2300-2399,LOUISIANA ST,ST
Theft,"Other, Unknown, or Not Listed",14200-14299,BONHAM OAKS LANE,-
Theft,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST
Theft,"Road, Street, or Sidewalk",900-999,BAYOU PARKWAY,-
Theft,Convenience Store,6300-6399,BEVERLY HILL,-
Aggravated Assault,"Hotel, Motel, Inn, Etc.",2500-2599,HAMILTON,ST
Theft,Garage or Carport,3200-3299,LOUISIANA ST,ST
Theft,Commercial Parking Lot or Garage,1800-1899,MCILHENNY ST,ST
Robbery,Service or Gas Station,2100-2199,MAIN ST IB,-
Theft,Other Parking Lot,1500-1599,ISABELLA,-
Theft,Apartment,2700-2799,TRAVIS,-
Theft,Apartment Parking Lot,700-799,LOUSIANNA,ST
Theft,Apartment,2700-2799,TRAVIS,-
Theft,Apartment,2700-2799,TRAVIS,-
Aggravated Assault,Residence or House,2500-2599,FANNIN,-
Theft,University or College,6400-6499,FANNIN,-
Theft,Garage or Carport,2700-2799,TRAVIS ST,ST
Burglary,Bar or Night Club,2300-2399,HOMELESS,-
Theft,Apartment Parking Lot,2500-2599,LOUISIANA ST,ST
Theft,Apartment Parking Lot,1100-1199,MCILHENNY ST,ST
AutoTheft,"Road, Street, or Sidewalk",1700-1799,DENNIS ST,ST
Rape,Residence or House,1400-1499,MCILHENNY ST,ST
Theft,"Physician, Doctor, Dentist's Office",6500-6599,LOOP,-
Robbery,"Road, Street, or Sidewalk",2200-2299,MILAM,-
Theft,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST
Theft,"Gym, Recreat, Club House, Indoor Pool",3200-3299,LOUISIANA ST,ST
Theft,Restaurant or Cafeteria,3200-3299,LOUISIANA ST,ST
Theft,"Road, Street, or Sidewalk",3600-3699,TRAVIS ST,ST
Theft,Commercial Parking Lot or Garage,1900-1999,CLAYTON,DR
Theft,Miscellaneous Business (Non-Specific),3400-3499,FANNIN ST,ST
Theft,"Road, Street, or Sidewalk",3300-3399,BRANARD APT 15,-
Theft,"Road, Street, or Sidewalk",1800-1899,ROSALIE STREET,-
Theft,Commercial Parking Lot or Garage,3200-3299,LOUISIANA ST,ST
Theft,Restaurant or Cafeteria,2800-2899,MILAM,-
Theft,Bar or Night Club,3200-3299,MAIN ST IB,-
Robbery,"Road, Street, or Sidewalk",2900-2999,MAIN ST OB,-
Theft,Apartment,4600-4699,MAIN,ST
Theft,"Road, Street, or Sidewalk",1700-1799,HADLEY ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",4000-4099,CAROLINE ST,ST
Aggravated Assault,Residence or House,3500-3599,MAIN ST OB,-
Theft,"Road, Street, or Sidewalk",800-899,BERRY ST,ST
Burglary,Garage or Carport,3900-3999,AUSTIN ST,ST
Theft,"Road, Street, or Sidewalk",3700-3799,MILAM,-
Theft,Convenience Store Parking Lot,1000-1099,ELGIN ST,ST
Theft,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN ST,ST
Burglary,Residence or House,12200-12299,ORMANDY STREET,-
Theft,"Other, Unknown, or Not Listed",2900-2999,HAMILTON ST,ST
Theft,Strip Business Center Parking Lot,2100-2199,CHENEVERT,-
Theft,"Other, Unknown, or Not Listed",3000-3099,TRAVIS,-
Theft,Restaurant or Cafeteria Parking Lot,2900-2999,MILAM,-
Theft,Strip Business Center Parking Lot,1900-1999,GRAY ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",600-699,WILDWIND,-
Theft,"Road, Street, or Sidewalk",1500-1599,FRANCIS ST,ST
Theft,"Road, Street, or Sidewalk",2500-2599,FANNIN ST,ST
Theft,Apartment,3800-3899,MAIN,ST
Theft,"Road, Street, or Sidewalk",3400-3499,MILAM,-
Theft,Other Parking Lot,1500-1599,ISABELLA,-
Robbery,Service or Gas Station,2100-2199,FANNIN ST,ST
Theft,"Road, Street, or Sidewalk",2500-2599,CAROLINE ST,ST
Aggravated Assault,Bus Station,2200-2299,MAIN,ST
AutoTheft,"Road, Street, or Sidewalk",16400-16499,SANDY MEADOWS,DR
Theft,"Road, Street, or Sidewalk",400-499,145,-
Theft,"Road, Street, or Sidewalk",2700-2799,FANNIN ST,ST
Robbery,Service or Gas Station,1100-1199,HADLEY ST,ST
Theft,"Road, Street, or Sidewalk",3300-3399,MILAM,-
Theft,Restaurant or Cafeteria Parking Lot,1700-1799,SUMMER,ST
Theft,"Other, Unknown, or Not Listed",1500-1599,ALABAMA ST,ST
Theft,Restaurant or Cafeteria Parking Lot,3400-3499,FANNIN ST,ST
Theft,Convenience Store Parking Lot,1600-1699,WINDSOR ROAD,-
Aggravated Assault,"Road, Street, or Sidewalk",4300-4399,CAROLINE ST,ST
Theft,"Other, Unknown, or Not Listed",2600-2699,TRAVIS,-
Theft,"Road, Street, or Sidewalk",3600-3699,MILAM,-
Theft,Bus Station,2100-2199,MAIN ST,ST
Theft,Bar or Night Club,3700-3799,MAIN ST,ST
Theft,Apartment Parking Lot,800-899,STUART,-
Theft,"Road, Street, or Sidewalk",2900-2999,TRAVIS,-
Theft,"Road, Street, or Sidewalk",2500-2599,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",5800-5899,GULFTON ST APT 1722,-
Aggravated Assault,Convenience Store Parking Lot,6200-6299,MAIN,ST
Robbery,Light Rail Platform,4500-4599,MAIN ST,ST
Aggravated Assault,Service or Gas Station,400-499,HOMELESS,-
Theft,"Road, Street, or Sidewalk",4200-4299,ANNAWOOD,CIR
Robbery,"Road, Street, or Sidewalk",200-299,HOLLYVALE,DR
Aggravated Assault,Bar or Night Club Parking Lot,2900-2999,TRAVIS,-
Theft,"Road, Street, or Sidewalk",1700-1799,BREMOND ST,ST
Theft,Department or Discount Store,4200-4299,MAIN,ST
Theft,Miscellaneous Business (Non-Specific),3100-3199,SAN JACINTO,ST
Theft,Bar or Night Club Parking Lot,3300-3399,MILAM,-
Burglary,Residence or House,1800-1899,MCILHENNY,ST
Aggravated Assault,"Road, Street, or Sidewalk",1300-1399,CENTER,ST
Theft,"Road, Street, or Sidewalk",900-999,TRUXILLO,-
Theft,"Road, Street, or Sidewalk",1600-1699,DREW ST,ST
Robbery,Other Parking Lot,2100-2199,FANNIN ST,ST
Theft,"Road, Street, or Sidewalk",3500-3599,WOODLAWN,-
Theft,Light Rail (Metro Rail) Vehicle,4500-4599,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",2300-2399,SAN JACINTO ST,ST
Theft,"Road, Street, or Sidewalk",3000-3099,MILAM,-
Theft,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN ST IB,-
Aggravated Assault,Hospital,4800-4899,RAINTREE,DR
Robbery,"Road, Street, or Sidewalk",2900-2999,NANCY BELL,-
Murder,"Road, Street, or Sidewalk",2000-2099,MAIN ST,ST
Theft,Apartment Parking Lot,2700-2799,TRAVIS,-
Theft,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO ST,ST
Burglary,"Multi-Plex Home (Duplex,Triplex Etc.)",2400-2499,CLEBURNE ST,ST
Aggravated Assault,Residence or House,3200-3299,MCGOWEN ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",3200-3299,PO BOX 5244,-
Aggravated Assault,"Hotel, Motel, Inn, Etc.",2500-2599,SAMPSON,-
Burglary,"Church, Synagogue, or Temple",2300-2399,NAGLE,-
Burglary,Residence or House,2000-2099,TUAM,-
Theft,"Road, Street, or Sidewalk",3300-3399,ANITA,ST
Aggravated Assault,Residence or House,4600-4699,JETTY,LN
Aggravated Assault,"Road, Street, or Sidewalk",2600-2699,NAPOLEON,-
Aggravated Assault,Liquor Store,2500-2599,NAGLE,-
Burglary,Residence or House,1500-1599,AVENUE M,-
AutoTheft,"Road, Street, or Sidewalk",3600-3699,SAINT CHARLES,-
Burglary,Residence or House,2500-2599,ISABELLA,-
Burglary,Residence or House,2600-2699,ALABAMA ST,ST
Theft,Other Parking Lot,3800-3899,ROSALIE,-
Theft,Driveway,3300-3399,HUTCHINS,-
Theft,Restaurant or Cafeteria Parking Lot,2000-2099,CHARTRES ST,ST
Aggravated Assault,Freeway Service Road,3500-3599,GULF FWY OB,-
Robbery,"Road, Street, or Sidewalk",3300-3399,SCOTT ST OB,-
AutoTheft,Apartment Parking Lot,3200-3299,ALABAMA ST,ST
Burglary,Bar or Night Club,3700-3799,DOWLING,ST
Aggravated Assault,"Road, Street, or Sidewalk",2800-2899,TUAM,-
Aggravated Assault,Residence or House,2900-2999,BURKETT,ST
Theft,Convenience Store,3500-3599,ELGIN,ST
Aggravated Assault,"Road, Street, or Sidewalk",2800-2899,SAUER,-
Theft,"Road, Street, or Sidewalk",3700-3799,ROSALIE,-
Theft,"Road, Street, or Sidewalk",2400-2499,PIERCE ST,ST
Robbery,Apartment Parking Lot,3300-3399,ALABAMA ST,ST
Theft,"Road, Street, or Sidewalk",2100-2199,STUART,-
Theft,Miscellaneous Business (Non-Specific),3300-3399,E ALABAMA ST,ST
Theft,Residence or House,3000-3099,ANITA,-
Burglary,Residence or House,3600-3699,ANITA ST,ST
Robbery,Residence or House,2100-2199,TRUXILLO,-
Theft,Apartment,3200-3299,TRUXILLO,-
Robbery,"Vacant Single Occ Resd(House,Townhs,Dplex)",3700-3799,DREW ST,ST
