Offense Type,Premise,BlockRange,StreetName,Type
Theft,Miscellaneous Business (Non-Specific),3700-3799,LEELAND,-
Theft,Miscellaneous Business (Non-Specific),400-499,DOWLING,ST
Theft,Bar or Night Club,2000-2099,LEELAND,-
Theft,"Road, Street, or Sidewalk",1400-1499,SAINT EMANUEL,ST
Theft,Commercial Parking Lot or Garage,1200-1299,SAINT EMANUEL,ST
Aggravated Assault,"Road, Street, or Sidewalk",100-199,CHARTRES,ST
Auto Theft,"Road, Street, or Sidewalk",700-799,HADLEY,ST
Theft,"Gym, Recreat, Club House, Indoor Pool, Spa",3200-3299,LOUISIANA,ST
Theft,"Road, Street, or Sidewalk",800-899,STUART,-
Theft,"Road, Street, or Sidewalk",1000-1099,WEBSTER,ST
Aggravated Assault,"Road, Street, or Sidewalk",1500-1599,CLEBURNE,ST
Aggravated Assault,Bus Station,2100-2199,MAIN,ST
Robbery,"Road, Street, or Sidewalk",1100-1199,MCGOWEN,ST
Theft,"Road, Street, or Sidewalk",2200-2299,MILAM,-
Theft,"Church, Synagogue, or Temple Parking Lot",900-999,TRUXILLO,-
Auto Theft,Apartment Parking Lot,2700-2799,TRAVIS,-
Theft,,2100-2199,LOUISIANA,ST
Theft,"Road, Street, or Sidewalk",800-899,STUART,-
Theft,"Road, Street, or Sidewalk",2500-2599,MAIN,ST
Theft,Restaurant or Cafeteria Parking Lot,1500-1599,ALABAMA,ST
Theft,"Road, Street, or Sidewalk",1000-1099,WINBERN,-
Theft,"Road, Street, or Sidewalk",1100-1199,WEBSTER,ST
Auto Theft,Residence or House,3100-3199,HAMILTON,ST
Theft,"Road, Street, or Sidewalk",2900-2999,CRAWFORD,ST
Burglary,Grocery Store or Supermarket,4200-4299,SAN JACINTO,ST
Theft,"Road, Street, or Sidewalk",2300-2399,FANNIN,ST
Burglary,Restaurant or Cafeteria,3700-3799,TRAVIS,-
Theft,"Road, Street, or Sidewalk",1100-1199,BERRY,ST
Theft,Apartment Parking Lot,900-999,TRUXILLO,-
Theft,Grocery Store or Supermarket Parking Lot,2200-2299,LOUISIANA,ST
Theft,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN,-
Theft,"Road, Street, or Sidewalk",900-999,WINBERN,-
Theft,Apartment,4000-4099,FANNIN,ST
Theft,Commercial Parking Lot or Garage,3400-3499,FANNIN,ST
