Offense Type,Premise,BlockRange,StreetName,Type
Auto Theft,"Road, Street, or Sidewalk",2100-2199,CLAY,-
Burglary,Miscellaneous Business (Non-Specific),2600-2699,BELL,ST
Theft,Bar or Night Club,800-899,SAINT EMANUEL,ST
Aggravated Assault,"Road, Street, or Sidewalk",1500-1599,ST EMANUEL,ST
Robbery,"Road, Street, or Sidewalk",3200-3299,LAMAR,-
Theft,"Road, Street, or Sidewalk",1100-1199,DELANO,-
Theft,"Road, Street, or Sidewalk",2100-2199,POLK,-
Theft,Social Services or Public Charities,400-499,DOWLING,ST
Theft,"Road, Street, or Sidewalk",2100-2199,DALLAS,ST
Theft,"Road, Street, or Sidewalk",2200-2299,POLK,-
Theft,Service or Gas Station,3500-3599,GULF,FWY
Theft,"Road, Street, or Sidewalk",2400-2499,RUSK,ST
Burglary,Residence or House,2700-2799,DALLAS,ST
Theft,"Road, Street, or Sidewalk",2500-2599,LAMAR,-
Theft,Commercial Parking Lot or Garage,1100-1199,CHARTRES,ST
Theft,"Road, Street, or Sidewalk",1200-1299,SAINT EMANUEL,ST
Theft,Bar or Night Club Parking Lot,2100-2199,RUSK,ST
Theft,"Road, Street, or Sidewalk",2100-2199,WALKER,ST
Theft,"Road, Street, or Sidewalk",2200-2299,POLK,-
Theft,"Road, Street, or Sidewalk",1400-1499,SAINT EMANUEL,ST
Theft,"Road, Street, or Sidewalk",1100-1199,HUTCHINS,-
Theft,"Road, Street, or Sidewalk",2200-2299,BELL,ST
Theft,"Road, Street, or Sidewalk",1400-1499,HUTCHINS,-
Theft,"Road, Street, or Sidewalk",2000-2099,CLAY,ST
Theft,Bar or Night Club Parking Lot,800-899,SAINT EMANUEL,ST
Theft,"Road, Street, or Sidewalk",1400-1499,NAGLE,-
Theft,"Road, Street, or Sidewalk",2800-2899,RUSK,ST
Theft,Driveway,2800-2899,RUSK,ST
Auto Theft,Bar or Night Club,800-899,SAINT EMANUEL,ST
Theft,"Road, Street, or Sidewalk",2900-2999,LEELAND,-
Theft,Apartment,1300-1399,LIVE OAK,-
Theft,"Road, Street, or Sidewalk",1200-1299,BASTROP,ST
Theft,Residence or House,2800-2899,POLK,-
Theft,"Road, Street, or Sidewalk",2000-2099,LEELAND,-
Theft,"Other, Unknown, or Not Listed",1500-1599,ISABELLA,-
Theft,"Road, Street, or Sidewalk",1000-1099,BERRY,ST
Theft,Residence or House,1700-1799,STUART,-
Theft,"Road, Street, or Sidewalk",2900-2999,CHENEVERT,-
Theft,"Road, Street, or Sidewalk",1600-1699,HADLEY,ST
Robbery,"Road, Street, or Sidewalk",2600-2699,LOUISIANA,ST
Theft,Drug Store or Medical Supply,1000-1099,ELGIN,ST
Theft,"Other, Unknown, or Not Listed",2600-2699,CAROLINE,ST
Theft,Service or Gas Station,1000-1099,ALABAMA,ST
Theft,"Gym, Recreat, Club House, Indoor Pool, Spa",3200-3299,LOUISIANA,ST
Burglary,Apartment,4600-4699,MAIN,ST
Aggravated Assault,"Road, Street, or Sidewalk",100-199,SOUTHWEST,FWY
Aggravated Assault,Restaurant or Cafeteria Parking Lot,4400-4499,FANNIN,ST
Theft,"Road, Street, or Sidewalk",800-899,STUART,-
Robbery,"Road, Street, or Sidewalk",1200-1299,WEBSTER,ST
Burglary,Bar or Night Club,2300-2399,MAIN,ST
Theft,Bar or Night Club,2300-2399,MAIN,ST
Theft,"Other, Unknown, or Not Listed",1300-1399,HOLMAN,-
Theft,Bus Station,2500-2599,FANNIN,ST
Auto Theft,"Road, Street, or Sidewalk",700-799,ANITA,ST
Theft,Other Parking Lot,3800-3899,FANNIN,ST
Theft,"Road, Street, or Sidewalk",2600-2699,TRAVIS,-
Theft,Grocery Store or Supermarket Parking Lot,2200-2299,LOUISIANA,ST
Auto Theft,"Gym, Recreat, Club House, Indoor Pool, Spa",3100-3199,LOUISIANA,ST
Auto Theft,"Road, Street, or Sidewalk",2100-2199,MAIN,ST
Theft,"Road, Street, or Sidewalk",2500-2599,FANNIN,ST
Theft,Bar or Night Club,2300-2399,MAIN,ST
Theft,Rehabilitation Center,3800-3899,FANNIN,ST
Robbery,Clothing Store,4200-4299,MAIN,ST
Theft,Convenience Store,2100-2199,FANNIN,ST
Theft,"Road, Street, or Sidewalk",1000-1099,MCGOWEN,ST
Theft,"Road, Street, or Sidewalk",1500-1599,FRANCIS,ST
Theft,"Road, Street, or Sidewalk",4400-4499,SAN JACINTO,ST
Theft,Restaurant or Cafeteria Parking Lot,2800-2899,CAROLINE,ST
Theft,"Road, Street, or Sidewalk",3300-3399,CHENEVERT,-
Theft,"Road, Street, or Sidewalk",3600-3699,CHENEVERT,-
Theft,Bar or Night Club,3700-3799,FANNIN,ST
Theft,"Road, Street, or Sidewalk",3200-3299,MILAM,-
Theft,"Road, Street, or Sidewalk",3600-3699,CHENEVERT,-
Burglary,"Physician, Doctor, Dentist's Office",3000-3099,FANNIN,ST
Burglary,Construction Site,1000-1099,TUAM,-
Theft,Commercial Parking Lot or Garage,700-799,ELGIN,ST
Auto Theft,"Other, Unknown, or Not Listed",3500-3599,CHENEVERT,-
Aggravated Assault,Residence or House,1400-1499,TUAM,-
Theft,Residence or House,2100-2199,LA BRANCH,-
Theft,Other Parking Lot,700-799,ELGIN,ST
Robbery,Light Rail (Metro Rail) Vehicle,4500-4599,MAIN,ST
Aggravated Assault,Restaurant or Cafeteria Parking Lot,4400-4499,FANNIN,ST
Theft,"Road, Street, or Sidewalk",1500-1599,ALABAMA,ST
Theft,"Road, Street, or Sidewalk",900-999,FRANCIS,ST
Theft,"Other, Unknown, or Not Listed",800-899,BERRY,ST
Burglary,Residence or House,2900-2999,MILAM,-
Theft,"Road, Street, or Sidewalk",3200-3299,TRAVIS,-
Theft,"Road, Street, or Sidewalk",800-899,WINBERN,-
Auto Theft,"Road, Street, or Sidewalk",1400-1499,DENNIS,ST
Theft,Bar or Night Club,3700-3799,FANNIN,ST
Theft,"Road, Street, or Sidewalk",3600-3699,MILAM,-
Theft,Convenience Store,4200-4299,MAIN,ST
Theft,"Road, Street, or Sidewalk",1100-1199,BREMOND,ST
Burglary,Garage or Carport,3000-3099,CAROLINE,ST
Burglary,Miscellaneous Business (Non-Specific),3000-3099,SAN JACINTO,ST
Theft,Strip Business Center Parking Lot,3000-3099,TRAVIS,-
Theft,"Road, Street, or Sidewalk",800-899,WINBERN,-
Theft,"Road, Street, or Sidewalk",2500-2599,SAN JACINTO,ST
Theft,Department or Discount Store,4200-4299,MAIN,ST
Auto Theft,Service or Gas Station,2100-2199,FANNIN,ST
Theft,"Road, Street, or Sidewalk",1100-1199,MCILHENNY,ST
Aggravated Assault,Other Parking Lot,4200-4299,SAN JACINTO,ST
Theft,Apartment Parking Lot,1300-1399,BELFONTAINE,-
Theft,"Road, Street, or Sidewalk",1400-1499,MCILHENNY,ST
Theft,"Road, Street, or Sidewalk",3300-3399,CAROLINE,ST
Theft,"Road, Street, or Sidewalk",800-899,GRAY,ST
Auto Theft,Grocery Store or Supermarket Parking Lot,4300-4399,FANNIN,ST
Theft,"Church, Synagogue, or Temple Parking Lot",3600-3699,MILAM,-
Theft,"Road, Street, or Sidewalk",3600-3699,MILAM,-
Aggravated Assault,Restaurant or Cafeteria,4400-4499,FANNIN,ST
Theft,"Road, Street, or Sidewalk",2400-2499,FANNIN,ST
Theft,Other Parking Lot,1500-1599,GRAY,ST
Theft,,2500-2599,MAIN,ST
Theft,Residence or House,1800-1899,DREW,ST
Theft,"Road, Street, or Sidewalk",800-899,BERRY,ST
Theft,"Road, Street, or Sidewalk",3200-3299,TRAVIS,-
Theft,Condominium,2900-2999,HAMILTON,ST
Theft,Commercial Parking Lot or Garage,2300-2399,MILAM,-
Theft,Apartment Parking Lot,2400-2499,MILAM,-
Theft,"Road, Street, or Sidewalk",3400-3499,MILAM,-
Theft,Other Parking Lot,2100-2199,CHENEVERT,-
Theft,Residence or House,2400-2499,MILAM,-
Theft,,2400-2499,JACKSON,ST
Theft,Convenience Store Parking Lot,2200-2299,LOUISIANA,ST
Burglary,Auto Repair,2200-2299,MAIN,ST
Theft,Bar or Night Club,3700-3799,FANNIN,ST
Robbery,"Road, Street, or Sidewalk",2400-2499,SAN JACINTO,ST
Auto Theft,"Road, Street, or Sidewalk",1800-1899,ANITA,ST
Theft,Residence or House,2900-2999,JACKSON,ST
Robbery,"Road, Street, or Sidewalk",2100-2199,FANNIN,ST
Theft,"Road, Street, or Sidewalk",2800-2899,CAROLINE,ST
Aggravated Assault,Grocery Store or Supermarket,2500-2599,LOUISIANA,ST
Theft,,2400-2499,SAN JACINTO,ST
Theft,"Road, Street, or Sidewalk",700-799,TUAM,-
Theft,Residence or House,3400-3499,FANNIN,ST
Aggravated Assault,"Road, Street, or Sidewalk",2100-2199,MAIN,ST
Theft,"Road, Street, or Sidewalk",1000-1099,MCGOWEN,ST
Theft,Garage or Carport,2700-2799,TRAVIS,-
Theft,Grocery Store or Supermarket,4200-4299,SAN JACINTO,ST
Auto Theft,Apartment Parking Lot,1600-1699,HOLMAN,-
Theft,Apartment Parking Lot,800-899,ALABAMA,ST
Auto Theft,Other Parking Lot,700-799,MCGOWEN,ST
Theft,Bar or Night Club,2200-2299,FANNIN,ST
Theft,"Road, Street, or Sidewalk",4100-4199,FANNIN,ST
Aggravated Assault,Light Rail (Metro Rail) Vehicle,4500-4599,MAIN,ST
Theft,Commercial Building,2400-2499,FRANCIS,ST
Burglary,"Church, Synagogue, or Temple",2300-2399,BASTROP,ST
Theft,"Road, Street, or Sidewalk",2300-2399,BASTROP,ST
Theft,"Road, Street, or Sidewalk",10400-10499,SMITH,DR
Auto Theft,"Road, Street, or Sidewalk",3200-3299,TUAM,-
Theft,Other Parking Lot,3600-3699,DOWLING,ST
Burglary,Residence or House,3000-3099,MCILHENNY,ST
Theft,Apartment Parking Lot,2500-2599,WEBSTER,ST
Theft,"Road, Street, or Sidewalk",2400-2499,MCILHENNY,ST
Aggravated Assault,,3400-3499,REEVES,-
Auto Theft,"Road, Street, or Sidewalk",2300-2399,PIERCE,ST
Aggravated Assault,"Road, Street, or Sidewalk",3200-3299,TRUXILLO,-
Robbery,"Road, Street, or Sidewalk",2600-2699,CALLIE,ST
Aggravated Assault,"Road, Street, or Sidewalk",3000-3099,ROSALIE,-
Robbery,Restaurant or Cafeteria,4000-4099,ELGIN,ST
Theft,Residence or House,3700-3799,DELANO,-
Aggravated Assault,"Road, Street, or Sidewalk",3600-3699,NAGLE,-
Aggravated Assault,Service or Gas Station,3300-3399,DOWLING,ST
Robbery,"Road, Street, or Sidewalk",3700-3799,DREW,ST
Robbery,"Road, Street, or Sidewalk",2400-2499,CANFIELD,ST
Theft,Residence or House,3300-3399,TUAM,-
Robbery,Apartment,2800-2899,HADLEY,ST
Aggravated Assault,Residence or House,2200-2299,HOLMAN,-
Aggravated Assault,Restaurant or Cafeteria Parking Lot,3300-3399,SCOTT,ST
Burglary,Residence or House,2700-2799,WINBERN,-
Theft,Service or Gas Station,2000-2099,MCILHENNY,ST
