Offense Type,Beat,Premise,BlockRange,StreetName,Type
Theft,11H30,Service or Gas Station,7900-7999,HOWARD,RD
Theft,11H30,Other Parking Lot,8300-8399,PARK PLACE BLVD,BLVD
Theft,11H30,"Vacant Single Occ Resd(House,Townhs,Dplex)",9500-9599,PRAIRIE DALE,CT
Burglary,11H30,Apartment,8300-8399,PARK PLACE BLVD,BLVD
Theft,11H30,Restaurant or Cafeteria Parking Lot,2800-2899,BROADWAY,ST
Aggravated Assault,11H30,Residence or House,8400-8499,ELROD,-
Theft,11H30,Department or Discount Store,8400-8499,WINKLER,DR
Robbery,11H30,Convenience Store Parking Lot,8400-8499,WINKLER DR,-
Theft,11H30,Service or Gas Station,7900-7999,HOWARD DR,-
Theft,11H30,"Road, Street, or Sidewalk",2900-2999,DOVER ST,ST
Theft,11H30,Restaurant or Cafeteria Parking Lot,8100-8199,BONNER DR,-
AutoTheft,11H30,Apartment Parking Lot,8200-8299,PARK TERRACE,-
Theft,11H30,Service or Gas Station,7900-7999,HOWARD,RD
Robbery,11H30,"Road, Street, or Sidewalk",3700-3799,BROADWAY ST,ST
Theft,11H30,Restaurant or Cafeteria Parking Lot,8500-8599,GULF FWY IB,-
AutoTheft,11H40,Driveway,900-999,TONI,-
Robbery,11H40,Residence or House,5400-5499,STARLING,-
Theft,11H40,Miscellaneous Business (Non-Specific),10100-10199,BUXTON,-
Burglary,11H40,Convenience Store,8900-8999,HOWARD,RD
Theft,11H40,Department or Discount Store,8600-8699,HOWARD,RD
Burglary,11H40,Service or Gas Station,1200-1299,ALLEN GENOA,RD
Burglary,11H40,Department or Discount Store,8500-8599,HOWARD,RD
AutoTheft,11H40,Residence or House,5100-5199,BOSWORTH ST,ST
Aggravated Assault,11H40,Residence or House,5400-5499,WOODLARK,-
Theft,11H40,Miscellaneous Business (Non-Specific),1100-1199,ORCHID,-
Theft,11H40,Liquor Store,15000-15099,LAWNDALE,-
Robbery,11H40,Service or Gas Station,600-699,ALLEN GENOA RD,RD
Theft,11H40,Driveway,5100-5199,ORIOLE,-
Aggravated Assault,11H40,"Road, Street, or Sidewalk",1600-1699,BEUSCH,DR
Robbery,11H40,"Road, Street, or Sidewalk",400-499,AHRENS ST,ST
Burglary,11H40,Body Shop,10100-10199,FOREMAN,-
Theft,11H50,Strip Business Center Parking Lot,8500-8599,GULF FWY IB,-
AutoTheft,11H50,Driveway,5900-5999,SANTA BERNADETTA,-
Robbery,11H50,Residence or House,5100-5199,SILVER CREEK DR,-
Burglary,11H50,Restaurant or Cafeteria Parking Lot,9200-9299,GULF,FWY
Burglary,11H50,Apartment,9300-9399,TALLYHO,-
Burglary,11H50,Miscellaneous Business (Non-Specific),9300-9399,GULF,FWY
Burglary,11H50,Residence or House,5500-5599,WINDING CREEK WAY,-
Theft,11H50,Driveway,5500-5599,CRIPPLE BROOK CT,-
Theft,11H50,"Pawn, Resale Shop, or Flea Market",9000-9099,WINKLER DR,-
Robbery,11H50,Residence or House,5500-5599,BROOKGLEN DR,-
Theft,11H50,Other Parking Lot,2700-2799,RICHEY,ST
Robbery,11H50,Commercial Building,2800-2899,RICHEY,ST
Theft,11H50,Vehicle/Auto Sales/Lease/Auto Parts Store,3000-3099,S.RICHEY,ST
Theft,11H50,Bar or Night Club Parking Lot,9200-9299,WINKLER DR,-
Theft,12D10,Apartment Parking Lot,100-199,EDGEBROOK DR,-
Theft,12D10,Grocery Store or Supermarket,9800-9899,BLACKHAWK,BLVD
Theft,12D10,Apartment,1100-1199,CESAR CHAVEZ,BLVD
Burglary,12D10,Residence or House,9100-9199,BARTON,-
Theft,12D10,Restaurant or Cafeteria,10400-10499,AMBURSEN ST,ST
Theft,12D10,Department or Discount Store,10000-10099,ALMEDA GENOA,RD
Aggravated Assault,12D10,"Church, Synagogue, or Temple Parking Lot",11400-11499,TELEPHONE,RD
Aggravated Assault,12D10,Residence or House,300-399,RAVENHEAD DR,-
Theft,12D10,Department or Discount Store,9500-9599,ROWLETT,-
Robbery,12D10,Apartment Parking Lot,5600-5699,MELANITE,ST
Burglary,12D10,Apartment,1200-1299,REDFORD,RD
Theft,12D10,Apartment,10900-10999,GULF FWY OB,-
Theft,12D10,"Road, Street, or Sidewalk",9100-9199,JUDWIN,-
Theft,12D10,Apartment Parking Lot,7400-7499,STERLINGSHIRE,-
Theft,12D10,Convention Center or Exhibit Halls,4800-4899,ELM,ST
AutoTheft,12D10,Strip Business Center Parking Lot,9300-9399,EASTHAVEN,BLVD
Theft,12D10,Apartment Parking Lot,9900-9999,WINDMILL LAKES BLVD,BLVD
Robbery,12D10,"Road, Street, or Sidewalk",100-199,E EDGEBROOK DR,-
Burglary,12D10,Department or Discount Store,10000-10099,ALMEDA GENOA,RD
Theft,12D10,"Road, Street, or Sidewalk",9800-9899,LEDGE ST,ST
Theft,12D10,Miscellaneous Business (Non-Specific),2300-2399,COOL SPRINGS LANE,-
Theft,12D10,Apartment Parking Lot,4100-4199,S SHAVER ST,ST
AutoTheft,12D10,Apartment Parking Lot,3900-3999,ARLINGTON SQUARE DR,-
Theft,12D10,Apartment Parking Lot,10900-10999,GULF FWY.,-
Aggravated Assault,12D10,Department or Discount Store,800-899,EDGEBROOK,DR
Rape,12D10,"Road, Street, or Sidewalk",300-399,EDGEBROOK DR,-
Theft,12D10,Grocery Store or Supermarket Parking Lot,2400-2499,ALBRIGHT,DR
AutoTheft,12D10,Apartment Parking Lot,100-199,E EDGEBROOK DR,-
Theft,12D10,"Other, Unknown, or Not Listed",8000-8099,GALVESTON RD,RD
Robbery,12D10,Service or Gas Station,1000-1099,EDGEBROOK DR,-
Burglary,12D10,Department or Discount Store,10000-10099,ALMEDA GENOA,RD
Burglary,12D10,Department or Discount Store,10200-10299,ALMEDA GENOA,RD
Theft,12D10,Other Parking Lot,UNK,ALMEDA MALL,-
Aggravated Assault,12D10,Hotel or Motel Parking Lot,8200-8299,HANSEN,RD
Theft,12D10,Driveway,8000-8099,AVENELL RD,RD
AutoTheft,12D10,"Other, Unknown, or Not Listed",100-199,E EDGEBROOK DR,-
Burglary,12D10,Miscellaneous Business (Non-Specific),6900-6999,GULF,FWY
Burglary,12D10,Barber And Beauty Shops,400-499,EDGEBROOK,DR
Theft,12D10,Convenience Store,9900-9999,BESSEMER,ST
Theft,12D10,Apartment,10900-10999,GULF FWY OB,-
Theft,12D10,Driveway,9800-9899,W JENNIFER WAY DR,-
Theft,12D10,"Road, Street, or Sidewalk",9600-9699,BLACKHAWK BLVD,BLVD
Theft,12D10,Residence or House,8200-8299,HARTFORD,RD
Theft,12D10,Department or Discount Store,10000-10099,ALMEDA GENOA,RD
AutoTheft,12D10,Mall Parking Lot,12200-12299,GULF FWY OB,-
Theft,12D10,Apartment Parking Lot,UNK,E EDGEBROOK DR,-
Aggravated Assault,12D10,"Road, Street, or Sidewalk",2300-2399,THETA,-
AutoTheft,12D10,Apartment Parking Lot,9700-9799,WINDWATER DR,-
AutoTheft,12D10,Other Parking Lot,14100-14199,MYSTIC SHORES,LN
AutoTheft,12D10,Apartment Parking Lot,10100-10199,WINDMILL LAKES BLVD,BLVD
Burglary,12D10,Apartment,800-899,S. GLENWOOD,-
AutoTheft,12D10,Commercial Parking Lot or Garage,10600-10699,BESSEMER ST,ST
AutoTheft,12D10,"Road, Street, or Sidewalk",1000-1099,CREAGER ST,ST
Theft,12D10,"Road, Street, or Sidewalk",1200-1299,MARLEEN ST,ST
Theft,12D10,Miscellaneous Business (Non-Specific),9800-9899,ROWLETT,-
Theft,12D10,Grocery Store or Supermarket Parking Lot,9500-9599,ROWLETT,-
Burglary,12D10,Apartment,5600-5699,ANDERSON OAKS STREET,-
AutoTheft,12D10,Driveway,1400-1499,REGAL ST,ST
Theft,12D10,Hotel or Motel Parking Lot,8800-8899,AIRPORT BLVD,BLVD
Burglary,12D10,Apartment,1300-1399,BOB WHITE,AVE
Burglary,12D10,"Hotel, Motel, Inn, Etc.",8800-8899,AIRPORT,BLVD
Theft,12D10,Apartment Parking Lot,10100-10199,WINDMILL LAKES BLVD 1118,-
Burglary,12D10,Apartment,3900-3999,ARLINGTON SQUARE DR,-
AutoTheft,12D10,"Road, Street, or Sidewalk",2100-2199,BOYKIN ST,ST
AutoTheft,12D10,Vehicle/Auto Sales/Lease/Auto Parts Store,8600-8699,PANAIR,-
Theft,12D10,Department or Discount Store,9500-9599,ROWLETT,-
Theft,12D10,Miscellaneous Business (Non-Specific),9900-9999,BESSEMER,ST
AutoTheft,12D10,Vehicle/Auto Sales/Lease/Auto Parts Store,8100-8199,MONROE,RD
AutoTheft,12D10,Driveway,500-599,GILPIN ST,ST
Burglary,12D10,Residence or House,700-799,GILPIN ST,ST
Theft,12D10,Apartment Parking Lot,1200-1299,TRAVIS,ST
Theft,12D10,Department or Discount Store,300-399,WESTWOOD,DR
AutoTheft,12D10,Driveway,11000-11099,FIELD VIEW CT,-
Theft,12D10,Apartment Parking Lot,9400-9499,CLEARWOOD ST,ST
Burglary,12D10,Residence or House,10100-10199,WINDMILL LAKES BLVD,BLVD
Theft,12D10,Grocery Store or Supermarket,9800-9899,BLACKHAWK,BLVD
Theft,12D10,Vacant Building (Commercial),10400-10499,GULF FWY OB,-
Theft,12D10,Department or Discount Store,100-199,ALMEDA MALL,-
AutoTheft,12D10,"Other, Unknown, or Not Listed",8600-8699,PANAIR,-
Theft,12D10,Convenience Store,8900-8999,AIRPORT,BLVD
Theft,12D10,Mall Common Area,8900-8999,GLENCREST ST APT 7178,-
Robbery,12D10,Department or Discount Store,10500-10599,GULF,FWY
Theft,12D10,Grocery Store or Supermarket,9500-9599,ROWLETT,-
AutoTheft,12D10,"Road, Street, or Sidewalk",11400-11499,PALMSPRINGS,DR
Theft,12D10,Driveway,2100-2199,LOVING,-
AutoTheft,12D10,Restaurant or Cafeteria Parking Lot,3800-3899,NEWLAND,DR
Theft,12D10,"Other, Unknown, or Not Listed",11500-11599,GULF FWY OB,-
Burglary,12D10,Grocery Store or Supermarket,10000-10099,ALMEDA GENOA,RD
Burglary,12D10,Restaurant or Cafeteria,9900-9999,ALMEDA GENOA,RD
Robbery,12D10,Adult Book Store or Newsstand,9300-9399,SKILLMAN,ST
Theft,12D10,Residence or House,1300-1399,P.O.BOX 979055,-
Burglary,12D10,Body Shop,1500-1599,GLOBE,ST
Theft,12D10,Grocery Store or Supermarket,9800-9899,BLACKHAWK,BLVD
Theft,12D10,"Multi-Plex Home (Duplex,Triplex Etc.)",9000-9099,DIRBY ST,ST
Theft,12D10,Other Parking Lot,12200-12299,GULF FWY OB,-
Theft,12D10,Mall Parking Lot,12200-12299,GULF FWY OB,-
Theft,12D10,"Road, Street, or Sidewalk",5900-5999,VANFLEET,-
Aggravated Assault,12D10,"Field, Woods, Forest, Park",9600-9699,FOREDALE,ST
Burglary,12D10,Residence or House,8900-8999,DEXTER,-
Theft,12D10,Convenience Store,800-899,EDGEBROOK,DR
Theft,12D10,Commercial Parking Lot or Garage,11500-11599,GULF FWY OB,-
Theft,12D10,Residence or House,2400-2499,DELWIN,ST
AutoTheft,12D10,"Road, Street, or Sidewalk",11600-11699,DUMAS,-
Theft,12D10,Apartment Parking Lot,9900-9999,WINDMILL LAKES,BLVD
Theft,12D10,Driveway,10000-10099,VICTORIA RIDGE LN,-
Robbery,12D10,Apartment Parking Lot,1200-1299,REDFORD,RD
Theft,12D10,Other Parking Lot,12200-12299,GULF FWY OB,-
Theft,12D10,Service or Gas Station,800-899,EDGEBROOK,DR
Aggravated Assault,12D10,"Road, Street, or Sidewalk",400-499,BROWN,DR
Theft,12D10,Convenience Store,800-899,EDGEBROOK,-
Theft,12D10,Other Parking Lot,11300-11399,GULF,FWY
Theft,12D10,Department or Discount Store,500-599,ALMEDA MALL,-
Theft,12D10,Other Parking Lot,5400-5499,DOULTON,DR
Theft,12D10,Other Parking Lot,10500-10599,IH 45 FWY OB,-
Burglary,12D10,Check Cashing Places,10200-10299,RAVENWOOD VIEW,LN
Theft,12D10,Apartment Parking Lot,100-199,EDGEBROOK,-
Burglary,12D10,Residence or House,100-199,CORONATION,DR
Theft,12D10,Apartment Parking Lot,100-199,E EDGEBROOK DR,-
AutoTheft,12D10,Strip Business Center Parking Lot,8500-8599,ALMEDA GENOA RD,RD
Burglary,12D10,Apartment,10100-10199,WINDMILL LAKES,BLVD
Theft,12D10,Miscellaneous Business (Non-Specific),10500-10599,GULF FWY OB,-
AutoTheft,12D10,"Road, Street, or Sidewalk",1400-1499,LASKEY ST,ST
Theft,12D10,Apartment Parking Lot,9200-9299,EDGEBROOK,DR
AutoTheft,12D10,Apartment Parking Lot,9400-9499,CLEARWOOD ST,ST
Theft,12D10,Restaurant or Cafeteria Parking Lot,900-999,EDGEBROOK,DR
Robbery,12D10,Service or Gas Station,9600-9699,ROWLETT,-
Theft,12D10,Car Wash,300-399,E EDGEBROOK DR,-
Theft,12D10,Laundry or Dry Cleaners Parking Lot,10600-10699,SOUTHDOWN TRACE,TRL
Burglary,12D10,Residence or House,500-599,SHAWNEE,-
Theft,12D10,Clothing Store,1900-1999,RUNNELS,-
Aggravated Assault,12D10,"Road, Street, or Sidewalk",8900-8999,RADIO RD,RD
Theft,12D10,Clothing Store,12200-12299,GULF,FWY
Aggravated Assault,12D10,Apartment Parking Lot,1200-1299,REDFORD,RD
Theft,12D10,Mall Parking Lot,UNK,ALMEDA MALL,-
Theft,12D10,Apartment,9200-9299,NATHANIEL,-
AutoTheft,12D10,Hotel or Motel Parking Lot,9900-9999,GULF,FWY
Theft,12D10,Apartment Parking Lot,10900-10999,GULF FWY IB,-
Aggravated Assault,12D10,Bar or Night Club,12200-12299,GULF FWY OB,-
Theft,12D10,Other Parking Lot,9500-9599,ROWLETT,-
AutoTheft,12D10,Mall Parking Lot,500-599,ALMEDA MALL,-
Aggravated Assault,12D10,Residence or House,10800-10899,SAGELEAF,LN
Theft,12D10,"Electronics Store, Electrical Supplies",10000-10099,GULF,FWY
Theft,12D10,"Electronics Store, Electrical Supplies",10900-10999,GULF FWY OB,-
Theft,12D10,Mall Common Area,12200-12299,GULF FWY OB,-
Theft,12D10,Mall Common Area,16200-16299,EL CAMINO REAL,-
AutoTheft,12D10,Strip Business Center Parking Lot,8600-8699,MONROE RD,RD
AutoTheft,12D10,Driveway,10100-10199,AVES ST,ST
Burglary,12D10,Apartment,100-199,E EDGEBROOK DR,-
Theft,12D10,Other Parking Lot,29100-29199,CRYSTAL ROSE,LN
AutoTheft,12D10,Apartment Parking Lot,9200-9299,CLEARWOOD ST,ST
Theft,12D10,Grocery Store or Supermarket,9500-9599,ROWLETT,-
Theft,12D10,Mall Parking Lot,12200-12299,GULF FWY OB,-
Aggravated Assault,12D10,Highway or Freeway,10300-10399,REBEL,-
Theft,12D10,Grocery Store or Supermarket,9500-9599,ROWLETT,-
Aggravated Assault,12D10,Residence or House,8700-8799,TARTAN WALK LN,-
AutoTheft,12D10,Vehicle/Auto Sales/Lease/Auto Parts Store,11200-11299,GULF,FWY
Theft,12D10,Department or Discount Store,100-199,ALMEDA MALL,-
Theft,12D10,Restaurant or Cafeteria Parking Lot,1200-1299,VALERIE,AVE
Robbery,12D10,Grocery Store or Supermarket Parking Lot,9500-9599,ROWLETT,-
Theft,12D10,Service or Gas Station,10000-10099,ALMEDA GENOA RD,RD
Theft,12D10,Department or Discount Store,500-599,ALMEDA MALL,-
Theft,12D10,Strip Business Center Parking Lot,9500-9599,ROWLETT,-
Theft,12D10,Restaurant or Cafeteria Parking Lot,10700-10799,KINGSPOINT RD,RD
Robbery,12D10,Bar or Night Club,9900-9999,KLECKLEY DR,-
Theft,12D10,Restaurant or Cafeteria Parking Lot,5300-5399,CARMEN,ST
Theft,12D10,Department or Discount Store,2300-2399,FARRIERS BEND,DR
Theft,12D10,Apartment Parking Lot,8600-8699,THETA,-
Burglary,12D10,Apartment,10900-10999,GULF FWY OB,-
AutoTheft,12D10,Apartment Parking Lot,10200-10299,WINDMILL LAKES,BLVD
Theft,12D10,Department or Discount Store,10400-10499,GULF,FWY
AutoTheft,12D10,Apartment Parking Lot,1200-1299,REDFORD,RD
Theft,12D10,Grocery Store or Supermarket Parking Lot,3900-3999,S SHAVER ST,ST
Robbery,12D10,Apartment Parking Lot,9900-9999,WINDMILL LAKES,BLVD
Robbery,12D10,"Road, Street, or Sidewalk",10200-10299,WINDMILL LAKES BLVD,BLVD
Theft,12D10,"Parks and Recreation, Zoo, Swimming Pool",2300-2399,BRONSON ST,ST
Burglary,12D10,Apartment,10900-10999,GULF FWY IB,-
Theft,12D10,Department or Discount Store,10000-10099,ALMEDA GENOA RD,RD
Theft,12D10,Commercial Parking Lot or Garage,9400-9499,FUQUA ST,ST
Theft,12D10,Grocery Store or Supermarket,400-499,DOWLING,ST
Theft,12D10,Miscellaneous Business (Non-Specific),8600-8699,ALMEDA GENOA RD,RD
Theft,12D10,Apartment,1700-1799,COLLEGE AVE,-
Theft,12D10,Apartment Parking Lot,8700-8799,WINDFERN,RD
Theft,12D10,Department or Discount Store,9500-9599,ROWLETT,-
Theft,12D10,Commercial Parking Lot or Garage,10100-10199,THERMON,-
Theft,12D10,Other Parking Lot,11200-11299,GULF FWY IB,-
Theft,12D10,Bar or Night Club,2400-2499,CONNORVALE,RD
AutoTheft,12D10,Department or Discount Store,9500-9599,ROWLETT,-
Robbery,12D20,Grocery Store or Supermarket Parking Lot,11100-11199,FUQUA ST,ST
Theft,12D20,Strip Business Center Parking Lot,300-399,SUPER,-
Theft,12D20,Residence or House,11300-11399,SAGE OAK DR,-
AutoTheft,12D20,Sexually Oriented Club,12300-12399,GULF FWY OB,-
Burglary,12D20,Apartment,11100-11199,BEAMER PLACE,-
Theft,12D20,Residence or House,10300-10399,SAGEPLUM,DR
Theft,12D20,Restaurant or Cafeteria Parking Lot,12500-12599,GULF FWY OB,-
Theft,12D20,Department or Discount Store,10900-10999,FUQUA,ST
Aggravated Assault,12D20,Residence or House,10700-10799,GARRICK,-
Theft,12D20,Residence or House,9600-9699,CAFFREY,-
Theft,12D20,Department or Discount Store,9900-9999,FUQUA,ST
AutoTheft,12D20,Residence or House,12800-12899,GULF FWY OB,-
Theft,12D20,"Road, Street, or Sidewalk",11000-11099,SAGEVALE LN,-
Theft,12D20,Apartment,10700-10799,FUQUA ST,ST
Robbery,12D20,Residence or House,9900-9999,SUMERLIN,-
Robbery,12D20,"Road, Street, or Sidewalk",10600-10699,SEAFORD,RD
Theft,12D20,Driveway,11900-11999,SAGEDOWNE LN,-
Burglary,12D20,Apartment,11800-11899,GULF POINTE DR,-
Aggravated Assault,12D20,Bar or Night Club,13100-13199,CHISWICK,RD
Aggravated Assault,12D20,"Road, Street, or Sidewalk",9200-9299,OAK KNOLL,-
Theft,12D20,Apartment Parking Lot,11100-11199,FUQUA ST,ST
Robbery,12D20,"Theatres, Dinner Theaters, Auditoriums",11800-11899,S SAM HOUSTON PKWY E,-
Robbery,12D20,"Road, Street, or Sidewalk",11500-11599,KIRKHOLLOW DR,-
Theft,12D20,"Theatres, Dinner Theaters, Auditoriums",11800-11899,S SAM HOUSTON PKWY E,-
Robbery,12D20,Strip Business Center Parking Lot,10600-10699,KINGSPOINT RD,RD
Theft,12D20,Other Parking Lot,6700-6799,BRACE,ST
Robbery,12D20,Apartment Parking Lot,10600-10699,SABO RD,RD
Theft,12D20,Residence or House,11200-11299,VALLEY KINGS DR,-
Theft,12D20,Other Parking Lot,12300-12399,GULF FWY OB,-
Theft,12D20,Strip Business Center Parking Lot,12300-12399,GULF FWY OB,-
AutoTheft,12D20,Apartment Parking Lot,10900-10999,BEAMER RD,RD
Burglary,12D20,Apartment,10600-10699,SABO RD,RD
Aggravated Assault,12D20,Apartment Parking Lot,10900-10999,TANNER PARK CT,-
AutoTheft,12D20,Driveway,10900-10999,NEWTON,-
Theft,12D20,"Other, Unknown, or Not Listed",13000-13099,GULF FWY OB,-
Theft,12D20,Department or Discount Store,3300-3399,BURKE RD 143,-
Theft,12D20,"Other, Unknown, or Not Listed",10900-10999,FUQUA,ST
Theft,12D20,"Theatres, Dinner Theaters, Auditoriums",11800-11899,S SAM HOUSTON PKWY E,-
Theft,12D20,Restaurant or Cafeteria Parking Lot,6000-6099,BROOKGLEN,DR
Theft,12D20,Restaurant or Cafeteria Parking Lot,12100-12199,DICKINSON RD,RD
Robbery,12D20,Apartment Parking Lot,10600-10699,SABO RD,RD
AutoTheft,12D20,Driveway,12200-12299,BEAMER RD,RD
Theft,12D20,"Theatres, Dinner Theaters, Auditoriums",11800-11899,S SAM HOUSTON PKWY E,-
Theft,12D20,"Road, Street, or Sidewalk",9500-9599,MISTY BRIDGE,-
Theft,12D20,Service or Gas Station,11100-11199,FUQUA ST,ST
Theft,12D20,Driveway,5000-5099,ASHGROVE,DR
Theft,12D20,Bar or Night Club Parking Lot,5600-5699,FITE,RD
Theft,12D20,Convenience Store,11500-11599,BEAMER,RD
Theft,12D20,Driveway,9500-9599,TREE BRIDGE,-
Theft,12D20,Restaurant or Cafeteria Parking Lot,12300-12399,GULF FWY OB,-
Theft,12D20,Apartment Parking Lot,11100-11199,FUQUA ST,ST
Theft,12D20,Other Parking Lot,11800-11899,S SAM HOUSTON PKWY E,-
Theft,12D20,Apartment Parking Lot,11100-11199,FUQUA ST,ST
Aggravated Assault,12D20,Apartment Parking Lot,11100-11199,FUQUA ST,ST
Robbery,12D20,Apartment Parking Lot,10700-10799,FUQUA ST,ST
Theft,12D20,Driveway,10900-10999,STOVER ST,ST
Theft,12D20,"Road, Street, or Sidewalk",10600-10699,KIRKGLEN DR,-
Theft,12D20,Other Parking Lot,12800-12899,GULF FWY OB,-
Theft,12D20,Other Parking Lot,12300-12399,GULF FWY OB,-
Theft,12D20,Bar or Night Club Parking Lot,700-799,AVE F,-
AutoTheft,12D20,Other Parking Lot,8700-8799,KIRKMONT,DR
Theft,12D20,Apartment Parking Lot,10600-10699,SABO RD,RD
AutoTheft,12D20,Other Parking Lot,10900-10999,FUQUA ST,ST
Theft,12D20,Apartment Parking Lot,11100-11199,FUQUA ST,ST
Aggravated Assault,12D20,Residence or House,12100-12199,FAIRBURY,DR
Burglary,12D20,Apartment,12000-12099,SABO RD,RD
Theft,12D20,Driveway,12100-12199,FLUSHING MEADOWS,LN
AutoTheft,12D30,Vehicle/Auto Sales/Lease/Auto Parts Store,12100-12199,GULF,FWY
Burglary,12D30,Apartment,12300-12399,GULF FREEWAY APT 2310,-
Theft,12D30,Other Parking Lot,10900-10999,ALMEDA GENOA RD,RD
Theft,12D30,Driveway,13800-13899,N VIEW MEADOW LP,-
Burglary,12D30,Restaurant or Cafeteria Parking Lot,11900-11999,KURLAND,DR
Theft,12D30,Bank,600-699,JEFFERSON,ST
Aggravated Assault,12D30,Apartment,12600-12699,S GREEN DR,-
AutoTheft,12D30,Strip Business Center Parking Lot,11400-11499,FUQUA ST,ST
Theft,12D30,Restaurant or Cafeteria Parking Lot,12800-12899,GULF FWY IB,-
Theft,12D30,Miscellaneous Business (Non-Specific),12600-12699,FEATHERWOOD,DR
Robbery,12D30,Apartment Parking Lot,12600-12699,S GREEN DR,-
Burglary,12D30,Miscellaneous Business (Non-Specific),12800-12899,GULF,FWY
Burglary,12D30,Restaurant or Cafeteria,12700-12799,FEATHERWOOD DR,-
Theft,12D30,"Road, Street, or Sidewalk",7000-7099,EVANS STREET,-
Burglary,12D30,Apartment,1300-1399,TWINING OAKS,LN
Aggravated Assault,12D30,"Parks and Recreation, Zoo, Swimming Pool",12400-12499,GULF,FWY
Theft,12D30,"Road, Street, or Sidewalk",12300-12399,PALMFREE,ST
Burglary,12D30,Restaurant or Cafeteria Parking Lot,11900-11999,KURLAND,DR
Burglary,12D30,Restaurant or Cafeteria Parking Lot,12800-12899,GULF,FWY
Robbery,12D30,Apartment,12600-12699,S GREEN DR,-
AutoTheft,12D30,Vehicle/Auto Sales/Lease/Auto Parts Store,12100-12199,GULF,FWY
Theft,12D30,Restaurant or Cafeteria Parking Lot,12800-12899,GULF FWY IB,-
Theft,12D30,Restaurant or Cafeteria Parking Lot,2500-2599,DICKINSON,AVE
Theft,12D30,Apartment Parking Lot,12300-12399,GULF FREEWAY,-
Aggravated Assault,12D30,Residence or House,12100-12199,ALMEDA GENOA RD,RD
Robbery,12D30,Apartment Parking Lot,4400-4499,SHAVER,ST
Theft,12D30,Residence or House,500-599,GONZALES,-
Burglary,12D30,Warehouse,9700-9799,GALVESTON,RD
Burglary,12D30,Residence or House,10200-10299,MIDDLEGLEN LANE,-
AutoTheft,12D30,Apartment Parking Lot,10600-10699,SOUTHDOWN TRACE TRL,-
Theft,12D30,Restaurant or Cafeteria Parking Lot,12900-12999,GULF FWY IB,-
Theft,12D30,Apartment,12300-12399,GULF FREEWAY 2306,-
Theft,12D30,Miscellaneous Business (Non-Specific),12300-12399,FUQUA,ST
Theft,12D30,Restaurant or Cafeteria Parking Lot,12700-12799,GULF FWY IB,-
Theft,12D40,Apartment Parking Lot,15600-15699,GULF FWY IB,-
Rape,12D40,Hospital,11800-11899,ASTORIA BLVD,BLVD
Theft,12D40,Residence or House,4600-4699,NASA,PKWY
Theft,12D40,Service or Gas Station,15300-15399,GULF FWY IB,-
Theft,12D40,Apartment Parking Lot,11800-11899,ALGONQUIN,DR
Theft,12D40,Residence or House,700-799,FM 1959 RD,RD
Theft,12D40,Vehicle/Auto Sales/Lease/Auto Parts Store,15700-15799,GULF,FWY
Theft,12D40,Driveway,12300-12399,NEW BRUNSWICK DR,-
Theft,12D40,Driveway,12400-12499,UPLAND RAPIDS DR,-
AutoTheft,12D40,Other Parking Lot,15100-15199,GULF,FWY
Aggravated Assault,12D40,Hospital,11800-11899,2,ST
Theft,12D40,"Other, Unknown, or Not Listed",11700-11799,ALGONQUIN DR,-
Theft,12D40,Apartment,6300-6399,E SAM HOUSTON PKWY S,-
AutoTheft,12D40,"Road, Street, or Sidewalk",11700-11799,FLUSHING MEADOW,-
Theft,12D40,Residence or House,12000-12099,DOUBLEDAY DR,-
Theft,12D40,Miscellaneous Business (Non-Specific),1500-1599,DIXIE FARM,RD
Theft,12D40,Vehicle/Auto Sales/Lease/Auto Parts Store,15600-15699,GULF,FWY
Rape,12D40,Apartment,16700-16799,BOUGAINVILLA,LN
Theft,12D40,Other Parking Lot,14900-14999,GULF,FWY
AutoTheft,12D40,Vehicle/Auto Sales/Lease/Auto Parts Store,3000-3099,SOUTH ISLAND,DR
Aggravated Assault,12D40,"Road, Street, or Sidewalk",11800-11899,ASTORIA BLVD,BLVD
Burglary,12D40,Apartment,15600-15699,GULF FREEWAY,-
Burglary,12D40,Apartment,15600-15699,GULF FWY IB,-
Theft,12D40,"Road, Street, or Sidewalk",3800-3899,MILAM,-
AutoTheft,12D40,"Road, Street, or Sidewalk",12600-12699,CORNING DR,-
Theft,12D40,Apartment Parking Lot,UNK,DIXIE FARM RD/FM 1959 RD,RD
Burglary,12D40,Apartment,700-799,FM 1959 RD,RD
Theft,12D50,Other Parking Lot,1100-1199,CLEAR LAKE CITY BLVD,BLVD
Theft,12D50,Other Parking Lot,16100-16199,SPACE CENTER BLVD,BLVD
Aggravated Assault,12D50,Residence or House,2300-2399,COMMERCE,ST
Aggravated Assault,12D50,Residence or House,3200-3299,ARBOR MILL CT,-
Theft,12D50,Bank,1600-1699,CLEAR LAKE CITY BLVD,BLVD
Theft,12D50,Driveway,5700-5799,COMAL PARK CT,-
Theft,12D50,Department or Discount Store,2400-2499,BAY AREA,BLVD
Theft,12D50,"Other, Unknown, or Not Listed",13400-13499,SCENIC GLADE DR,-
Burglary,12D50,Residence or House,4200-4299,PINE BLOSSOM TRL,-
Theft,12D50,"Road, Street, or Sidewalk",16500-16599,BROOK FOREST DR,-
