Offense Type,Beat,Premise,BlockRange,StreetName,Type
Theft,10H30,"Road, Street, or Sidewalk",2700-2799,DONELLAN,DR
Aggravated Assault,10H30,"Other, Unknown, or Not Listed",7100-7199,PARKER RD APT 111,-
Theft,10H30,Convenience Store,2700-2799,LEELAND,-
Robbery,10H30,Convenience Store Parking Lot,3500-3599,GULF FWY IB,-
Theft,10H30,Residence or House,3400-3499,DALLAS ST,ST
Theft,10H30,Strip Business Center Parking Lot,3400-3499,POLK,-
Theft,10H30,Other Parking Lot,2000-2099,CLAY,ST
Theft,10H30,Hospital,400-499,DOWLING ST,ST
Theft,10H30,Bar or Night Club,1600-1699,SAINT EMANUEL ST,ST
Theft,10H30,"Road, Street, or Sidewalk",1700-1799,LAKE QUITMAN,DR
Theft,10H30,Bar or Night Club,1500-1599,SAINT EMANUEL ST,ST
Theft,10H30,"Road, Street, or Sidewalk",2300-2399,BELL ST,ST
AutoTheft,10H30,"Road, Street, or Sidewalk",3000-3099,SAGE,RD
Theft,10H30,Freeway Service Road,3500-3599,S IH 45 FWY OB,-
Burglary,10H30,Restaurant or Cafeteria,1600-1699,DOWLING,ST
Aggravated Assault,10H30,"Road, Street, or Sidewalk",1500-1599,SCOTT ST,ST
Burglary,10H30,Residence or House,700-799,NAGLE,-
Theft,10H30,Light Rail Platform,2400-2499,TEXAS ST,ST
Theft,10H30,"Road, Street, or Sidewalk",2000-2099,COMMERCE ST,ST
Theft,10H30,Commercial Parking Lot or Garage,2100-2199,FRANKLIN ST,ST
AutoTheft,10H30,"Road, Street, or Sidewalk",1300-1399,HUTCHINS ST,ST
Aggravated Assault,10H30,"Road, Street, or Sidewalk",1700-1799,GRAY,ST
Theft,10H30,"Road, Street, or Sidewalk",2700-2799,CLAY ST,ST
Theft,10H30,Restaurant or Cafeteria Parking Lot,2700-2799,W. DALLAS ST.,-
Burglary,10H30,Residence or House,2800-2899,CAPITOL ST,ST
Theft,10H30,"Road, Street, or Sidewalk",2000-2099,DALLAS ST,ST
Theft,10H30,Commercial Parking Lot or Garage,2100-2199,COMMERCE,ST
Burglary,10H30,Residence or House,600-699,NAGLE,-
Robbery,10H30,"Road, Street, or Sidewalk",11000-11099,JARDIN DES CIRCLE,-
Theft,10H30,Commercial Parking Lot or Garage,10500-10599,HERALD SQUARE,DR
Theft,10H30,"Road, Street, or Sidewalk",200-299,GATES HALL TTU,-
Burglary,10H30,"Vacant Single Occ Resd(House,Townhs,Dplex)",3300-3399,JEFFERSON ST,ST
Burglary,10H30,Residence or House,1000-1099,ROBERTS ST,ST
Theft,10H30,Commercial Parking Lot or Garage,4500-4599,LINCOLNSHIRE,-
Theft,10H30,Other Parking Lot,23300-23399,CANYON LAKE,DR
Theft,10H30,Other Parking Lot,800-899,SAINT EMANUEL ST,ST
Robbery,10H30,"Road, Street, or Sidewalk",UNK,CHARTRES ST,ST
Theft,10H30,"Road, Street, or Sidewalk",2900-2999,MCKINNEY,ST
Theft,10H30,Bar or Night Club Parking Lot,3400-3499,HONEY BLOSSOM,LN
AutoTheft,10H30,Other Parking Lot,100-199,CHARTRES ST,ST
Theft,10H30,"Road, Street, or Sidewalk",2000-2099,LEELAND,-
Theft,10H30,Commercial Parking Lot or Garage,5400-5499,RIO RAMOS,ST
Theft,10H30,"Road, Street, or Sidewalk",2200-2299,PRESTON ST,ST
AutoTheft,10H30,Bar or Night Club Parking Lot,7100-7199,OLD KATY,RD
Robbery,10H30,"Road, Street, or Sidewalk",2000-2099,CONGRESS,-
Burglary,10H30,Residence or House,1400-1499,PAIGE,-
Aggravated Assault,10H40,Grocery Store or Supermarket,6400-6499,TIFFANY,DR
Theft,10H40,Commercial Building,8600-8699,JONES,RD
Theft,10H40,"Road, Street, or Sidewalk",3700-3799,CHENEVERT,-
Theft,10H40,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST
Theft,10H40,"Road, Street, or Sidewalk",2700-2799,LIVINGSTON DRIVE,-
Theft,10H40,Bus Station,10600-10699,BROOKLET,DR
Theft,10H40,Grocery Store or Supermarket,1500-1599,BLUEBIRD AVE APT,-
Theft,10H40,Bar or Night Club Parking Lot,2300-2399,MAIN ST IB,-
Theft,10H40,Miscellaneous Business (Non-Specific),1700-1799,ALABAMA ST,ST
Theft,10H40,Bar or Night Club,2300-2399,MAIN ST IB,-
AutoTheft,10H40,"Road, Street, or Sidewalk",1500-1599,TRUXILLO,-
Theft,10H40,Residence or House,2200-2299,MAIN ST OB,-
Burglary,10H40,Bar or Night Club,800-899,HOLMAN,-
Theft,10H40,Clothing Store,1900-1999,CHEW,ST
Theft,10H40,"Road, Street, or Sidewalk",1000-1099,MCGOWEN ST,ST
Theft,10H40,Apartment Parking Lot,1500-1599,STUART,-
Rape,10H40,"Road, Street, or Sidewalk",3100-3199,FANNIN ST,ST
AutoTheft,10H40,"Road, Street, or Sidewalk",UNK,GRAY ST/MAIN ST OB,-
Theft,10H40,"Road, Street, or Sidewalk",UNK,EDGEMIRE PLACE,-
Aggravated Assault,10H40,Restaurant or Cafeteria Parking Lot,14000-14099,FM 725 LOT 43,-
Aggravated Assault,10H40,"Road, Street, or Sidewalk",1500-1599,TRUXILLO,-
Theft,10H40,Bar or Night Club Parking Lot,2300-2399,MAIN ST IB,-
AutoTheft,10H40,Miscellaneous Business (Non-Specific),4500-4599,TRAVIS,-
Theft,10H40,Apartment Parking Lot,4600-4699,MAIN ST,ST
Theft,10H40,"Road, Street, or Sidewalk",3700-3799,MAIN ST OB,-
Theft,10H40,"Road, Street, or Sidewalk",1700-1799,ALABAMA ST,ST
Burglary,10H40,Apartment,2300-2399,LOUISIANA ST,ST
Robbery,10H40,Service or Gas Station,10000-10099,CLUB CREEK,-
Burglary,10H40,Apartment,2300-2399,MILAM,ST
Theft,10H40,"Gym, Recreat, Club House, Indoor Pool",2500-2599,FANNIN ST,ST
Robbery,10H40,"Road, Street, or Sidewalk",6900-6999,COX LANE,-
Aggravated Assault,10H40,Bus Stop,1800-1899,MCGOWEN ST,ST
Theft,10H40,"Road, Street, or Sidewalk",1500-1599,WINBERN,-
Theft,10H40,"Road, Street, or Sidewalk",4000-4099,FANNIN ST,ST
Theft,10H40,"Road, Street, or Sidewalk",1600-1699,DREW ST,ST
Theft,10H40,Restaurant or Cafeteria Parking Lot,100-199,SOREN,LN
Robbery,10H40,Bar or Night Club Parking Lot,700-799,HAHLO,-
Theft,10H40,Convenience Store Parking Lot,400-499,RICHMOND AVE,-
Robbery,10H40,"Road, Street, or Sidewalk",2400-2499,CAROLINE ST,ST
Robbery,10H40,Restaurant or Cafeteria Parking Lot,300-399,KIRKSTALL,DR
Theft,10H40,Bar or Night Club,6800-6899,WESTVIEW 126,-
Theft,10H40,Bus Stop,4500-4599,MAIN ST,ST
AutoTheft,10H40,"Road, Street, or Sidewalk",3100-3199,LA BRANCH,-
Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO ST,ST
Theft,10H40,"Road, Street, or Sidewalk",2700-2799,CHENEVERT ST,ST
AutoTheft,10H40,Miscellaneous Business (Non-Specific),2100-2199,TRAVIS,ST
Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,ST
Theft,10H40,Commercial Parking Lot or Garage,4000-4099,FANNIN,ST
Theft,10H40,"Road, Street, or Sidewalk",2100-2199,MAIN ST,ST
Theft,10H40,Apartment,4000-4099,FANNIN ST,ST
Theft,10H40,Other Parking Lot,1500-1599,HADLEY ST,ST
Theft,10H40,"Hotel, Motel, Inn, Etc.",2500-2599,HAMILTON,ST
Theft,10H40,Miscellaneous Business (Non-Specific),1500-1599,MCGOWEN,ST
Theft,10H40,"Road, Street, or Sidewalk",700-799,HADLEY ST,ST
Theft,10H40,Bar or Night Club,2400-2499,SAN JACINTO,-
