Offense Type,Premise,BlockRange,StreetName,Type
Theft,"Gym, Recreat, Club House, Indoor Pool",3200-3299,LOUISIANA,ST
Theft,"Other, Unknown, or Not Listed",2100-2199,CRAWFORD ST,ST
Theft,Restaurant or Cafeteria Parking Lot,2600-2699,SAN JACINTO ST,ST
Theft,Light Rail (Metro Rail) Vehicle,4500-4599,MAIN ST,ST
Aggravated Assault,Convenience Store Parking Lot,5100-5199,OLA,-
Theft,Bar or Night Club Parking Lot,3000-3099,CAROLINE ST,ST
Theft,Other Parking Lot,2600-2699,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",2700-2799,LOUISIANA,ST
Theft,Grocery Store or Supermarket,10900-10999,GULF,FWY
Robbery,Grocery Store or Supermarket,1000-1099,ELGIN,ST
Aggravated Assault,"Road, Street, or Sidewalk",2900-2999,CHENEVERT ST,ST
Theft,Bar or Night Club Parking Lot,2300-2399,MAIN ST,ST
Theft,Other Parking Lot,1700-1799,ALABAMA ST,ST
Theft,Restaurant or Cafeteria Parking Lot,3400-3499,MILAM,-
Theft,Restaurant or Cafeteria Parking Lot,20900-20999,MEADOWHILL DRIVE,-
Theft,"Road, Street, or Sidewalk",2400-2499,YORKTOWN,-
Theft,Bus Station,2100-2199,FANNIN ST,ST
Theft,"Road, Street, or Sidewalk",700-799,HADLEY ST,ST
Rape,"Other, Unknown, or Not Listed",UNK,MCGOWEN ST/SAN JACINTO ST,ST
Theft,"Road, Street, or Sidewalk",1500-1599,ALABAMA ST,ST
Theft,Grocery Store or Supermarket,4200-4299,SAN JACINTO ST,ST
Robbery,Grocery Store or Supermarket,4500-4599,TRAVIS,ST
Murder,"Road, Street, or Sidewalk",1000-1099,UNKNOWN FATHER'S ADDRESS,-
Theft,Vacant Other Out Build/Monument/UnderConst,13900-13999,ALDERSON ST APT 102,-
Theft,Grocery Store or Supermarket,600-699,NEST,ST
Aggravated Assault,Service or Gas Station,2100-2199,FANNIN ST,ST
Theft,"Gym, Recreat, Club House, Indoor Pool",2200-2299,FANNIN ST,ST
Theft,Other Parking Lot,3200-3299,LOUISIANA ST,ST
Theft,"Road, Street, or Sidewalk",700-799,STUART,-
Robbery,"Road, Street, or Sidewalk",2000-2099,MAIN ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",3400-3499,FANNIN,-
Theft,"Road, Street, or Sidewalk",9900-9999,BUFFALO SPEEDWAY,-
Theft,Other Parking Lot,1700-1799,WINBERN,-
Theft,"Road, Street, or Sidewalk",3100-3199,MILAM,-
AutoTheft,Other Parking Lot,2500-2599,MAIN ST,ST
Theft,Other Parking Lot,3100-3199,FANNIN ST,ST
Theft,"Road, Street, or Sidewalk",2300-2399,TRAVIS ST,ST
Theft,Commercial Parking Lot or Garage,1000-1099,ELGIN ST,ST
Theft,"Road, Street, or Sidewalk",5000-5099,BAYOU VISTA,DR
Theft,"Road, Street, or Sidewalk",1900-1999,E. MARTIN LUTHER KING JR.,-
Theft,Grocery Store or Supermarket Parking Lot,600-699,ENID,-
Theft,Strip Business Center Parking Lot,2600-2699,MILAM,-
Theft,Restaurant or Cafeteria,13400-13499,GESSNER,RD
Theft,"Road, Street, or Sidewalk",1100-1199,MARCELLA,ST
Burglary,Restaurant or Cafeteria,3600-3699,MAIN,ST
Theft,Bar or Night Club,1500-1599,ALABAMA ST,ST
Theft,"Road, Street, or Sidewalk",800-899,BERRY ST,ST
Theft,"Road, Street, or Sidewalk",11500-11599,29TH,ST
Theft,"Road, Street, or Sidewalk",800-899,GRAY ST,ST
Theft,"Road, Street, or Sidewalk",2900-2999,TRAVIS ST,ST
Theft,Service or Gas Station,2100-2199,FANNIN ST,ST
Theft,Restaurant or Cafeteria Parking Lot,2600-2699,SAN JACINTO ST,ST
Theft,Other Parking Lot,1300-1399,GRAY ST,ST
Theft,"Road, Street, or Sidewalk",700-799,CHARLESTON HEIGHTS,LN
Theft,Strip Business Center Parking Lot,2700-2799,LAKESIDE,DR
Robbery,"Road, Street, or Sidewalk",2100-2199,MAIN ST,ST
Theft,Auto Repair,2100-2199,LOUISIANA ST,ST
Robbery,"Road, Street, or Sidewalk",1300-1399,HOLMAN,-
Theft,Residence or House,10900-10999,SHAWNBROOK,DR
Aggravated Assault,"Road, Street, or Sidewalk",2100-2199,FANNIN ST,ST
Theft,Department or Discount Store,4200-4299,MAIN ST,ST
Theft,Other Parking Lot,1400-1499,ALABAMA ST,ST
Theft,Department or Discount Store,4200-4299,HOMELESS,-
Robbery,Convenience Store Parking Lot,9900-9999,TOWN PARK,DR
Robbery,"Road, Street, or Sidewalk",2100-2199,HOMELESS,-
Robbery,"Road, Street, or Sidewalk",400-499,RICHMOND AVE,-
Theft,"Road, Street, or Sidewalk",800-899,ANITA ST,ST
