Latitude,Longtitude
29.7535611,-95.3377431
29.7447461,-95.32820749999999
29.760466,-95.34775309999999
29.74774559999999,-95.3301863
29.760466,-95.34775309999999
29.7466645,-95.3261955
29.7592103,-95.3486503
29.757492,-95.346097
29.7478859,-95.3301123
29.7447461,-95.32820749999999
29.7468892,-95.33978660000001
29.7430791,-95.327595
29.7502195,-95.32141580000001
29.7502703,-95.32244299999999
29.7418438,-95.3225715
29.7516931,-95.3103771
29.7584451,-95.3473446
29.750575,-95.33658799999999
29.7516931,-95.3103771
29.7596111,-95.3408161
