Latitude,Longtitude
29.745293,-95.315944
29.7468699,-95.3202797
29.7636645,-95.35201529999999
29.7620542,-95.3504329
29.750368,-95.324186
29.7579353,-95.3421261
29.74159179999999,-95.3135873
30.0767029,-95.18212799999999
29.74404419999999,-95.33128579999999
29.7567179,-95.3480933
29.74774559999999,-95.3301863
29.7414828,-95.32147069999999
29.74408379999999,-95.3216551
29.7482565,-95.341425
29.7545515,-95.3346198
29.7646579,-95.3429984
29.7540782,-95.3434264
29.7433289,-95.3154222
29.751839,-95.334186
29.7540782,-95.3434264
