Latitude,Longtitude
29.7600817,-95.34158219999999
29.7975853,-95.36173769999999
29.7318345,-95.480395
29.7540782,-95.3434264
29.760466,-95.34775309999999
29.7636645,-95.35201529999999
29.7433213,-95.3154356
29.7439684,-95.3335599
29.742132,-95.3254238
29.7592103,-95.3486503
29.7424203,-95.3242896
29.7858905,-95.1732182
29.7592103,-95.3486503
29.7527267,-95.33918220000001
29.7584451,-95.3473446
29.7636645,-95.35201529999999
29.760466,-95.34775309999999
29.7546081,-95.3411336
29.74024979999999,-95.3141555
29.760466,-95.34775309999999
