Latitude,Longtitude
29.757492,-95.346097
29.741837,-95.32274489999999
29.6513268,-95.36706889999999
29.7592103,-95.3486503
29.74800429999999,-95.3230949
29.6578724,-95.3828346
29.74024979999999,-95.3141555
29.7414828,-95.32147069999999
29.6992565,-95.74982790000001
29.7410453,-95.3207382
29.7482479,-95.32145960000001
29.6735459,-95.4010304
29.7592103,-95.3486503
29.74774559999999,-95.3301863
29.7636645,-95.35201529999999
29.7579768,-95.34820219999999
29.7499393,-95.3426156
29.7018474,-95.4931826
29.7499261,-95.33664650000001
29.760466,-95.34775309999999
