Latitude,Longtitude
29.7663173,-95.2976937
29.7600541,-95.3443877
29.7620542,-95.3504329
29.7546081,-95.3411336
29.7481278,-95.32489679999999
29.7521265,-95.32772179999999
30.0131305,-95.6438868
29.7546205,-95.341135
29.6701723,-95.2751179
29.7584451,-95.3473446
29.7540341,-95.3279737
29.7449732,-95.3137289
29.72547569999999,-95.352801
29.5521842,-95.5315593
29.7527267,-95.33918220000001
29.7549067,-95.3308538
29.7484778,-95.3259961
29.7550253,-95.3378607
29.7484875,-95.33812069999999
29.7521382,-95.33828109999999
