Latitude,Longtitude
29.7428693,-95.3177267
29.7584451,-95.3473446
29.7584451,-95.3473446
29.7481815,-95.327448
29.7567179,-95.3480933
29.7453367,-95.32564250000001
29.7424203,-95.3242896
29.7534617,-95.3210337
29.75455029999999,-95.3346165
29.7547024,-95.34161979999999
29.7430827,-95.32711719999999
29.74835239999999,-95.3286835
29.7491897,-95.3372918
29.745388,-95.3329191
29.7463008,-95.3334229
29.748614,-95.329624
29.7549081,-95.3456303
29.7414828,-95.32147069999999
29.7636645,-95.35201529999999
29.7484875,-95.33812069999999
